,tokens_n_abs_sta,tokens_n_abs_reg,structures_n_abs_sta,structures_n_abs_reg,structures_n_abs_sta_ssi,structures_n_abs_reg_ssi,seqitems_n_abs_sta,seqitems_n_abs_reg,crossrefs_n_abs_sta,crossrefs_n_abs_reg,crossrefs_n_abs_sta_reg,crossrefs_n_abs_reg_sta,tokens_n_rel_sta,tokens_n_rel_reg,structures_n_rel_sta,structures_n_rel_reg,structures_rel_sta_ssi,structures_rel_reg_ssi,seqitems_n_rel_sta,seqitems_n_rel_reg,crossrefs_n_rel_sta,crossrefs_n_rel_reg,crossrefs_n_rel_sta_reg,crossrefs_n_rel_reg_sta
1998,5022425.0,3876515.0,49598,38292,130558,87905,41352,31713,86368,33471,305,14436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999,5088440.0,3931600.0,49893,38694,131788,88983,41588,32019,87449,34210,316,14949,1.013144048940502,1.0142099282474077,1.0059478204766321,1.0104982764023818,1.009421100200677,1.0122632387236221,1.005707100019346,1.0096490398259388,1.012516209707299,1.022078814496131,1.0360655737704918,1.0355361596009975
2000,5121037.0,3941574.0,49869,38424,131822,88962,41565,31785,88403,34835,319,15078,1.0196343399851666,1.0167828577988218,1.0054639299971773,1.0034471952366029,1.0096815208566308,1.0120243444627723,1.005150899593732,1.0022703623119855,1.0235619673953316,1.0407516954975948,1.0459016393442624,1.044472152950956
2001,5185349.0,4097909.0,50122,39290,132731,92790,41766,32531,90299,36549,328,15551,1.0324393096960134,1.0571116066879658,1.0105649421347636,1.0260628851979525,1.016643943687863,1.0555713554405324,1.0100116076610564,1.0257938384889478,1.0455145424231196,1.0919602043560097,1.0754098360655737,1.0772374619008036
2002,5322063.0,4252428.0,50305,40049,134343,95352,41930,33180,93696,37941,343,16465,1.0596600247888222,1.0969718935693529,1.0142546070406064,1.0458842578084195,1.02899094655249,1.0847164552642057,1.013977558521958,1.046258632106707,1.0848462393479066,1.1335484449224702,1.1245901639344262,1.1405513992795788
2003,5374101.0,4315039.0,50483,40227,135109,95855,42076,33299,94622,38367,359,17192,1.07002115511929,1.1131232563268811,1.0178434614298963,1.0505327483547477,1.0348580707425052,1.0904385416074172,1.0175082220932483,1.050011036483461,1.0955678028899591,1.146275880613068,1.1770491803278689,1.1909116098642283
2004,5536874.0,4432861.0,50997,40719,137166,97578,42466,33695,97550,39041,383,17649,1.102430399657536,1.1435170507530603,1.0282067825315537,1.0633813851457223,1.0506135204277027,1.1100392469142826,1.0269394467014896,1.062498029199382,1.1294692478695814,1.1664127154850468,1.2557377049180327,1.222568578553616
2005,5662917.0,4548791.0,51380,41385,139081,99437,42756,34242,100242,39828,403,17273,1.1275264438991124,1.1734227779332724,1.0359288680995202,1.0807740520213098,1.0652813309027405,1.1311870769580799,1.0339524085896692,1.079746476208495,1.1606381993330863,1.18992560724209,1.321311475409836,1.196522582432807
2006,5620257.0,4474405.0,49928,38972,136795,96416,41678,32308,100202,39436,364,16783,1.1190325390623055,1.154233893071483,1.0066534940925038,1.0177582784915908,1.0477718715053845,1.0968204311472614,1.007883536467402,1.01876202188377,1.1601750648388292,1.178213976277972,1.1934426229508197,1.1625796619562205
2007,5792208.0,4567591.0,50152,38852,138538,96917,41891,32195,104806,40621,380,17755,1.153269187693196,1.178272494753664,1.011169805234082,1.0146244646401337,1.0611222598385393,1.102519765656106,1.0130344360611336,1.0151988143663482,1.213481845127825,1.2136177586567476,1.2459016393442623,1.2299113327791633
