,tokens_n_abs_sta,tokens_n_abs_reg,structures_n_abs_sta,structures_n_abs_reg,structures_n_abs_sta_ssi,structures_n_abs_reg_ssi,seqitems_n_abs_sta,seqitems_n_abs_reg,crossrefs_n_abs_sta,crossrefs_n_abs_reg,crossrefs_n_abs_sta_reg,crossrefs_n_abs_reg_sta,tokens_n_rel_sta,tokens_n_rel_reg,structures_n_rel_sta,structures_n_rel_reg,structures_rel_sta_ssi,structures_rel_reg_ssi,seqitems_n_rel_sta,seqitems_n_rel_reg,crossrefs_n_rel_sta,crossrefs_n_rel_reg,crossrefs_n_rel_sta_reg,crossrefs_n_rel_reg_sta
1998,15210970.0,43860818.0,53048,167820,516166,1428746,46071,140403,80058,134562,24,40261,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999,15391977.0,46031905.0,53331,171881,524431,1487991,46325,143581,81003,142846,41,40597,1.0118997670759984,1.0494994644194735,1.0053347911325592,1.0241985460612562,1.0160122906196845,1.0414664328019116,1.00551322958043,1.0226348439848152,1.0118039421419471,1.0615626997220613,1.7083333333333333,1.0083455453168078
2000,15842695.0,47988632.0,54532,182792,547578,1575099,47351,152877,83043,149333,46,42445,1.0415308819884597,1.0941116510868538,1.0279746644548333,1.0892146347276843,1.0608563911609832,1.1024345824940192,1.0277832041848451,1.088844255464627,1.0372854680356742,1.1097709605980886,1.9166666666666667,1.054246044559251
2001,16034100.0,54487206.0,54879,198236,557300,1788041,47611,166267,84340,178259,61,43100,1.0541142346609058,1.2422751896692852,1.0345159101191375,1.1812418066976522,1.07969141710225,1.2514757696609475,1.0334266675348918,1.1842125880501129,1.0534862224886956,1.3247350663634607,2.5416666666666665,1.0705148903405282
2002,16414099.0,60195343.0,55788,219456,578497,1962272,48317,184393,86181,214451,63,46866,1.079096139167982,1.3724172449314558,1.0516513346403258,1.3076868072935288,1.120757663232371,1.3734225677622194,1.0487508410930955,1.3133123936098232,1.0764820505133779,1.5936965859603751,2.625,1.1640545440997492
2003,16731354.0,64625835.0,56350,228456,592944,2090123,48802,191747,87670,231068,67,49110,1.0999531259347695,1.473429770507244,1.06224551349721,1.3613156953879155,1.1487467210161073,1.4629073327239412,1.0592780708037595,1.3656901918050184,1.0950810662269854,1.717186129813766,2.7916666666666665,1.21979086460843
2004,17018755.0,66593911.0,56828,235111,607254,2160413,49236,197472,89331,241123,75,52465,1.118847450228355,1.5183007074788255,1.0712562207811793,1.4009712787510429,1.1764703603104427,1.512104320851992,1.0686983134726835,1.4064656738103887,1.115828524319868,1.7919100488993922,3.125,1.3031221281140557
2005,17392090.0,67645243.0,57552,235740,627341,2201713,49846,197875,91302,248787,80,53162,1.1433912498676941,1.5422704382759118,1.0849042376715428,1.404719342152306,1.215386135468047,1.5410107884816475,1.0819387467170236,1.4093359828493692,1.140448175073072,1.8488652071164222,3.3333333333333335,1.320434167059934
2006,17851451.0,69644158.0,58731,243725,648626,2270313,50858,204731,93850,256981,81,52924,1.1735905731192686,1.5878444857093181,1.1071293922485297,1.4523000834227149,1.25662286938698,1.589024921154635,1.103904842525667,1.4581668482867176,1.1722751005520997,1.9097590701683982,3.375,1.314522739127195
2007,18176803.0,70625793.0,59336,241831,666622,2285401,51364,203374,95328,264671,82,54988,1.1949798730784427,1.6102251672552026,1.11853415774393,1.4410141818615183,1.2914876221990599,1.5995852306848104,1.1148878904299886,1.448501812639331,1.1907367158809863,1.9669074478678974,3.4166666666666665,1.365788231787586
