key,type,document_type,heading,law_name,tokens_n,tokens_unique,max_leaf_tokens,items_n,seqitems_n,subseqitems_n,self_loops_n,reliance_n,responsibility_n,reliance_diversity_n,responsibility_diversity_n
BJNR127700005_ProdMechTextAusbV_20070731_000001,document,regulation,Verordnung über die Berufsausbildung zum Produktionsmechaniker- Textil/zur Produktionsmechanikerin-Textil,Verordnung über die Berufsausbildung zum Produktionsmechaniker- Textil/zur Produktionsmechanikerin-Textil,1293,536,134,0,13,15,3,3,0,1,0
BJNR015429981_MVzAFWoG_99999999_000001,document,statute,Gesetz zum Abbau der Fehlsubventionierung und der Mietverzerrung im Wohnungswesen,Gesetz zum Abbau der Fehlsubventionierung und der Mietverzerrung im Wohnungswesen,405,238,267,3,6,2,0,0,0,0,0
BJNR018490976_GasLastV_20150907_000001,document,regulation,Verordnung über die Sicherstellung der Gasversorgung,Verordnung über die Sicherstellung der Gasversorgung,1083,461,124,0,13,20,7,18,0,3,0
BJNR015260992_EUStBV-1993_20081130_000001,document,regulation,Einfuhrumsatzsteuer-Befreiungsverordnung,Einfuhrumsatzsteuer-Befreiungsverordnung,2030,623,171,0,19,30,15,3,0,2,0
BJNR200120930_SchLHeimÜbkG_99999999_000001,document,statute,Gesetz betreffend das Internationale Übereinkommen über die Heimschaffung der Schiffsleute,Gesetz betreffend das Internationale Übereinkommen über die Heimschaffung der Schiffsleute,51,40,37,0,2,2,0,0,0,0,0
BJNR348100005_SGB3EntgV-2006_20091231_000001,document,regulation,Verordnung über die pauschalierten Nettoentgelte für das Kurzarbeitergeld und Winterausfallgeld für das Jahr 2006,Verordnung über die pauschalierten Nettoentgelte für das Kurzarbeitergeld und Winterausfallgeld für das Jahr 2006,147,89,116,0,3,0,0,2,0,2,0
BJNR034600994_FlugfunkV_20080829_000001,document,regulation,Verordnung über Flugfunkzeugnisse,Verordnung über Flugfunkzeugnisse,2562,727,226,0,22,54,37,1,0,1,0
BJNR000760962_ObstBrennOFDSaarbV_20080516_000001,document,regulation,Verordnung zur Festsetzung der Grenzzahl der Obstabfindungsbrennereien im Bezirk der Oberfinanzdirektion Saarbrücken,Verordnung zur Festsetzung der Grenzzahl der Obstabfindungsbrennereien im Bezirk der Oberfinanzdirektion Saarbrücken,92,71,49,0,3,0,0,1,0,1,0
BJNR233700004_ChemIndMeistPrV-2004_20090831_000001,document,regulation,Verordnung über die Prüfung zum anerkannten Abschluss Geprüfter Industriemeister/Geprüfte Industriemeisterin - Fachrichtung Chemie,Verordnung über die Prüfung zum anerkannten Abschluss Geprüfter Industriemeister/Geprüfte Industriemeisterin - Fachrichtung Chemie,3837,1202,546,0,12,36,14,2,0,2,0
BJNR117810001_TeigwVorschrAufhV_20160714_000001,document,regulation,Verordnung zur Aufhebung lebensmittelrechtlicher Vorschriften für Teigwaren (Artikel 2 der Verordnung zur Änderung der Aromenverordnung und zur Aufhebung lebensmittelrechtlicher Vorschriften für Teigwaren),Verordnung zur Aufhebung lebensmittelrechtlicher Vorschriften für Teigwaren (Artikel 2 der Verordnung zur Änderung der Aromenverordnung und zur Aufhebung lebensmittelrechtlicher Vorschriften für Teigwaren),170,99,124,0,2,0,1,0,0,0,0
BJNR011770992_AltÜbgGV-2_20070504_000001,document,regulation,Zweite Verordnung zum Altersübergangsgeld,Zweite Verordnung zum Altersübergangsgeld,111,77,85,0,3,0,0,0,0,0,0
BJNR023050987_FRV_20070228_000001,document,regulation,Fahrzeugregisterverordnung,Fahrzeugregisterverordnung,6730,1217,487,5,28,80,116,71,2,7,1
