family,year,statute,regulation,total
0,1998,33149,612564,645713
0,1999,31271,597659,628930
0,2000,31174,614937,646111
0,2001,31694,632314,664008
0,2002,30766,635394,666160
0,2003,31029,672470,703499
0,2004,32367,696136,728503
0,2005,35368,437067,472435
0,2006,35368,487287,522655
0,2007,34991,474881,509872
0,2008,35096,561304,596400
0,2009,35177,607996,643173
0,2010,35177,642410,677587
0,2011,35200,669848,705048
0,2012,35824,688973,724797
0,2013,35898,723126,759024
0,2014,35898,745642,781540
0,2015,35899,763062,798961
0,2016,35899,778525,814424
0,2017,36265,798655,834920
0,2018,36265,821447,857712
0,2019,36416,843643,880059
1,1998,261335,89987,351322
1,1999,303436,88191,391627
1,2000,310871,89511,400382
1,2001,299020,92517,391537
1,2002,324931,97555,422486
1,2003,329243,98823,428066
1,2004,348245,102067,450312
1,2005,361370,104683,466053
1,2006,365118,97935,463053
1,2007,381263,97764,479027
1,2008,400463,97188,497651
1,2009,413686,117636,531322
1,2010,414777,123874,538651
1,2011,425173,125837,551010
1,2012,440509,126827,567336
1,2013,455815,139009,594824
1,2014,469414,148225,617639
1,2015,501105,144524,645629
1,2016,502332,147381,649713
1,2017,498749,139012,637761
1,2018,500083,134984,635067
1,2019,518499,137870,656369
2,1998,190731,163034,353765
2,1999,191806,157435,349241
2,2000,189954,152169,342123
2,2001,195561,151899,347460
2,2002,165143,142057,307200
2,2003,170989,134197,305186
2,2004,171149,133794,304943
2,2005,173937,117696,291633
2,2006,195607,137834,333441
2,2007,152877,106319,259196
2,2008,190434,143919,334353
2,2009,231180,152787,383967
2,2010,215138,169677,384815
2,2011,218903,180159,399062
2,2012,223091,187744,410835
2,2013,236916,206165,443081
2,2014,244798,206969,451767
2,2015,255255,207730,462985
2,2016,253278,112540,365818
2,2017,269040,151504,420544
2,2018,250252,169844,420096
2,2019,266922,119323,386245
3,1998,256850,29720,286570
3,1999,252146,29640,281786
3,2000,253840,26903,280743
3,2001,261401,24112,285513
3,2002,297315,24046,321361
3,2003,319828,59568,379396
3,2004,314498,35401,349899
3,2005,321610,32815,354425
3,2006,319225,32429,351654
3,2007,278548,28835,307383
3,2008,282401,28018,310419
3,2009,288309,28060,316369
3,2010,312282,33476,345758
3,2011,324283,34848,359131
3,2012,332033,34821,366854
3,2013,324158,35210,359368
3,2014,327109,35270,362379
3,2015,347468,35333,382801
3,2016,355212,35322,390534
3,2017,336386,28922,365308
3,2018,400960,41551,442511
3,2019,358562,32303,390865
4,1998,367245,170902,538147
4,1999,364710,175864,540574
4,2000,366875,175845,542720
4,2001,367832,177732,545564
4,2002,356666,234180,590846
4,2003,408895,262985,671880
4,2004,428197,249258,677455
4,2005,477607,291994,769601
4,2006,487446,291529,778975
4,2007,468073,370564,838637
4,2008,521399,389380,910779
4,2009,565205,401510,966715
4,2010,555410,398556,953966
4,2011,595462,421685,1017147
4,2012,610775,425170,1035945
4,2013,592892,396611,989503
4,2014,562145,314711,876856
4,2015,630222,320676,950898
4,2016,700208,327486,1027694
4,2017,688666,340868,1029534
4,2018,661489,329378,990867
4,2019,656846,330640,987486
5,1998,221026,29772,250798
5,1999,256321,17234,273555
5,2000,248115,30247,278362
5,2001,261376,30648,292024
5,2002,282302,25843,308145
5,2003,280339,20687,301026
5,2004,249372,20120,269492
5,2005,253798,36485,290283
5,2006,273364,24910,298274
5,2007,291132,30206,321338
5,2008,291481,39321,330802
5,2009,293119,38377,331496
5,2010,293449,41785,335234
5,2011,300301,32891,333192
5,2012,298668,36132,334800
5,2013,311275,28326,339601
5,2014,296433,37624,334057
5,2015,297137,46700,343837
5,2016,285027,44628,329655
5,2017,288347,35319,323666
5,2018,286947,38567,325514
5,2019,292597,38573,331170
6,1998,46056,130980,177036
6,1999,48333,138182,186515
6,2000,52280,138344,190624
6,2001,50702,137255,187957
6,2002,50524,143796,194320
6,2003,50901,115926,166827
6,2004,53378,108453,161831
6,2005,73653,133584,207237
6,2006,86243,146735,232978
6,2007,90021,159654,249675
6,2008,92008,164470,256478
6,2009,97659,170700,268359
6,2010,99330,189525,288855
6,2011,120367,196785,317152
6,2012,155584,206901,362485
6,2013,153202,210093,363295
6,2014,159997,214982,374979
6,2015,158835,242483,401318
6,2016,183531,265400,448931
6,2017,234447,266351,500798
6,2018,239983,265818,505801
6,2019,245963,271885,517848
7,1998,173430,16761,190191
7,1999,190523,15090,205613
7,2000,200105,15090,215195
7,2001,221427,24090,245517
7,2002,235667,36938,272605
7,2003,219394,40099,259493
7,2004,220288,36143,256431
7,2005,220318,41511,261829
7,2006,236273,31715,267988
7,2007,225638,25222,250860
7,2008,229716,25809,255525
7,2009,248599,24561,273160
7,2010,259873,28042,287915
7,2011,261111,28066,289177
7,2012,261293,28068,289361
7,2013,232990,28396,261386
7,2014,237154,27833,264987
7,2015,237962,27841,265803
7,2016,240939,26516,267455
7,2017,248871,30416,279287
7,2018,262785,25987,288772
7,2019,263842,26580,290422
8,1998,136198,47063,183261
8,1999,157345,58786,216131
8,2000,152440,59032,211472
8,2001,170009,63620,233629
8,2002,187667,61841,249508
8,2003,184316,59866,244182
8,2004,184880,61009,245889
8,2005,204752,72499,277251
8,2006,183394,71594,254988
8,2007,195608,73270,268878
8,2008,166018,72398,238416
8,2009,172943,70865,243808
8,2010,185284,69566,254850
8,2011,175570,80328,255898
8,2012,189067,81963,271030
8,2013,188115,72020,260135
8,2014,188349,80386,268735
8,2015,190511,85691,276202
8,2016,181811,90984,272795
8,2017,183594,93272,276866
8,2018,186245,103273,289518
8,2019,185991,97008,282999
9,1998,12801,23156,35957
9,1999,12598,24537,37135
9,2000,12598,32274,44872
9,2001,12313,152861,165174
9,2002,12313,199433,211746
9,2003,12313,206627,218940
9,2004,12313,223690,236003
9,2005,12203,219123,231326
9,2006,12206,225150,237356
9,2007,12206,225619,237825
9,2008,12206,224242,236448
9,2009,12203,186234,198437
9,2010,12203,159072,171275
9,2011,12203,178849,191052
9,2012,12203,168170,180373
9,2013,12203,158926,171129
9,2014,12203,157438,169641
9,2015,11727,171075,182802
9,2016,11910,168033,179943
9,2017,11910,156865,168775
9,2018,11910,148111,160021
9,2019,11910,151117,163027
10,1998,32339,113503,145842
10,1999,47486,122525,170011
10,2000,44777,143119,187896
10,2001,44937,144074,189011
10,2002,49650,144297,193947
10,2003,46287,147248,193535
10,2004,46740,150978,197718
10,2005,51248,160573,211821
10,2006,51167,158000,209167
10,2007,42329,150082,192411
10,2008,38061,130976,169037
10,2009,39479,134832,174311
10,2010,40172,135297,175469
10,2011,40220,136492,176712
10,2012,40003,122282,162285
10,2013,41625,125487,167112
10,2014,42431,128110,170541
10,2015,42867,134861,177728
10,2016,44753,136358,181111
10,2017,46276,143621,189897
10,2018,68334,161485,229819
10,2019,64592,156682,221274
11,1998,294887,38834,333721
11,1999,291414,42837,334251
11,2000,284622,46744,331366
11,2001,308968,45307,354275
11,2002,304647,41449,346096
11,2003,326227,43709,369936
11,2004,262207,19834,282041
11,2005,320640,31330,351970
11,2006,327216,33274,360490
11,2007,302911,27090,330001
11,2008,286637,27923,314560
11,2009,339795,39314,379109
11,2010,349654,42551,392205
11,2011,360197,43315,403512
11,2012,383494,58579,442073
11,2013,395887,63695,459582
11,2014,400352,66924,467276
11,2015,404033,61413,465446
11,2016,446036,86163,532199
11,2017,486413,104917,591330
11,2018,463624,102488,566112
11,2019,482713,103265,585978
12,1998,146033,5101,151134
12,1999,147050,5101,152151
12,2000,151879,5111,156990
12,2001,154339,5091,159430
12,2002,166438,5597,172035
12,2003,170802,5245,176047
12,2004,161011,5761,166772
12,2005,200137,7431,207568
12,2006,200294,6591,206885
12,2007,205829,6911,212740
12,2008,208788,6903,215691
12,2009,211634,4331,215965
12,2010,218845,6916,225761
12,2011,219270,6478,225748
12,2012,221305,8241,229546
12,2013,190698,7973,198671
12,2014,191144,7973,199117
12,2015,184280,8035,192315
12,2016,184673,8195,192868
12,2017,187691,7966,195657
12,2018,188412,7966,196378
12,2019,190132,10055,200187
13,1998,49293,42007,91300
13,1999,49732,41626,91358
13,2000,50853,41640,92493
13,2001,50889,39075,89964
13,2002,51959,40096,92055
13,2003,51893,41193,93086
13,2004,59274,46648,105922
13,2005,71133,79576,150709
13,2006,72439,59578,132017
13,2007,83495,56906,140401
13,2008,83211,64115,147326
13,2009,87669,64289,151958
13,2010,92782,73387,166169
13,2011,88662,67174,155836
13,2012,103156,75005,178161
13,2013,106399,82659,189058
13,2014,104079,79555,183634
13,2015,103664,79960,183624
13,2016,110451,82621,193072
13,2017,114406,85266,199672
13,2018,117634,87166,204800
13,2019,100913,88284,189197
14,1998,18721,92424,111145
14,1999,16277,90712,106989
14,2000,20094,97928,118022
14,2001,16194,91508,107702
14,2002,16177,92758,108935
14,2003,16243,96519,112762
14,2004,15869,88465,104334
14,2005,54533,105178,159711
14,2006,52467,147767,200234
14,2007,52791,135207,187998
14,2008,58739,143366,202105
14,2009,54798,142858,197656
14,2010,55617,137398,193015
14,2011,57985,137338,195323
14,2012,58556,134109,192665
14,2013,59958,134426,194384
14,2014,60610,130864,191474
14,2015,60535,135971,196506
14,2016,61557,134890,196447
14,2017,64018,133430,197448
14,2018,63890,133255,197145
14,2019,66823,133760,200583
15,1998,38080,12731,50811
15,1999,36382,13608,49990
15,2000,39601,13834,53435
15,2001,39733,12131,51864
15,2002,40802,12209,53011
15,2003,45801,14126,59927
15,2004,46081,14060,60141
15,2005,51293,17320,68613
15,2006,51659,17349,69008
15,2007,73396,29632,103028
15,2008,73514,30087,103601
15,2009,82600,42591,125191
15,2010,72513,36955,109468
15,2011,92196,47386,139582
15,2012,94414,48999,143413
15,2013,99691,50078,149769
15,2014,101596,50901,152497
15,2015,97200,57017,154217
15,2016,110275,63806,174081
15,2017,117344,64141,181485
15,2018,118900,64932,183832
15,2019,132857,65357,198214
16,1998,32917,113834,146751
16,1999,33074,120171,153245
16,2000,32293,102557,134850
16,2001,36837,113679,150516
16,2002,40151,132427,172578
16,2003,38686,128966,167652
16,2004,33205,135550,168755
16,2005,35430,138317,173747
16,2006,37449,146241,183690
16,2007,70051,145236,215287
16,2008,70831,145743,216574
16,2009,75462,170115,245577
16,2010,77720,175105,252825
16,2011,74774,173967,248741
16,2012,93938,147747,241685
16,2013,90526,163509,254035
16,2014,90507,183438,273945
16,2015,100613,170823,271436
16,2016,104430,191222,295652
16,2017,105125,217179,322304
16,2018,107560,222964,330524
16,2019,76911,213876,290787
17,1998,74293,127202,201495
17,1999,74726,135347,210073
17,2000,84053,153484,237537
17,2001,79158,146607,225765
17,2002,71841,149659,221500
17,2003,73381,153943,227324
17,2004,82174,169004,251178
17,2005,78849,142800,221649
17,2006,77847,167856,245703
17,2007,81896,170442,252338
17,2008,89014,169786,258800
17,2009,89844,173539,263383
17,2010,83339,170313,253652
17,2011,86962,177915,264877
17,2012,92132,193010,285142
17,2013,90128,190293,280421
17,2014,93850,193407,287257
17,2015,87606,185191,272797
17,2016,90902,184980,275882
17,2017,96476,170903,267379
17,2018,97068,179305,276373
17,2019,85082,168186,253268
18,1998,80831,100862,181693
18,1999,73648,100595,174243
18,2000,73667,100662,174329
18,2001,75046,100662,175708
18,2002,108474,48475,156949
18,2003,108474,48741,157215
18,2004,106402,46199,152601
18,2005,97431,50038,147469
18,2006,99389,53986,153375
18,2007,101934,53751,155685
18,2008,103372,58892,162264
18,2009,103673,39763,143436
18,2010,94080,32065,126145
18,2011,99487,32055,131542
18,2012,100048,31951,131999
18,2013,99290,17509,116799
18,2014,101444,20261,121705
18,2015,102777,20384,123161
18,2016,102873,22100,124973
18,2017,113302,32087,145389
18,2018,113450,32087,145537
18,2019,109433,32120,141553
19,1998,34881,98461,133342
19,1999,34881,101802,136683
19,2000,38202,101950,140152
19,2001,38409,101639,140048
19,2002,33609,101099,134708
19,2003,33260,101592,134852
19,2004,40368,102440,142808
19,2005,54660,107941,162601
19,2006,56331,106470,162801
19,2007,56331,107645,163976
19,2008,54152,108123,162275
19,2009,48552,94121,142673
19,2010,48578,94704,143282
19,2011,46251,91711,137962
19,2012,46224,179105,225329
19,2013,51027,185050,236077
19,2014,53948,188293,242241
19,2015,47755,206532,254287
19,2016,49735,212936,262671
19,2017,57237,212824,270061
19,2018,55698,218752,274450
19,2019,55611,220012,275623
20,1998,71450,25939,97389
20,1999,69075,25939,95014
20,2000,70891,30620,101511
20,2001,87375,40484,127859
20,2002,91723,40179,131902
20,2003,92684,40211,132895
20,2004,92548,39952,132500
20,2005,98472,39781,138253
20,2006,95437,38260,133697
20,2007,89995,29289,119284
20,2008,95986,29376,125362
20,2009,110141,30513,140654
20,2010,111153,34813,145966
20,2011,114077,36755,150832
20,2012,113894,37769,151663
20,2013,131384,39358,170742
20,2014,126068,37810,163878
20,2015,125432,38995,164427
20,2016,124348,39167,163515
20,2017,130357,38860,169217
20,2018,132196,41249,173445
20,2019,131455,40547,172002
21,2013,113826,31031,144857
21,2014,128072,31426,159498
21,2015,117269,39514,156783
21,2016,124147,32894,157041
21,2017,125651,32965,158616
21,2018,126945,33854,160799
21,2019,127577,33687,161264
22,1998,14510,40024,54534
22,1999,14510,43026,57536
22,2000,15808,43339,59147
22,2001,16594,67268,83862
22,2002,20655,79096,99751
22,2003,22948,91963,114911
22,2004,22954,85578,108532
22,2005,23626,88175,111801
22,2006,21305,82329,103634
22,2007,18712,78936,97648
22,2008,18741,78933,97674
22,2009,18872,79976,98848
22,2010,20630,80228,100858
22,2011,20845,87432,108277
22,2012,20857,87415,108272
22,2013,24161,87439,111600
22,2014,27147,87439,114586
22,2015,28397,83045,111442
22,2016,28045,82834,110879
22,2017,62796,83463,146259
22,2018,82493,66904,149397
22,2019,82573,66904,149477
23,1998,17055,98478,115533
23,1999,22592,101018,123610
23,2000,22592,95274,117866
