family,year,statute,regulation,total
0,1998,408363,4054173,4462536
0,1999,464701,4313392,4778093
0,2000,469286,5270614,5739900
0,2001,591528,6658688,7250216
0,2002,575263,7693881,8269144
0,2003,574611,8196612,8771223
0,2004,477358,8620021,9097379
0,2005,507413,9130924,9638337
0,2006,507390,9547399,10054789
0,2007,509877,9578177,10088054
0,2008,514885,9978606,10493491
0,2009,512290,10313661,10825951
0,2010,509132,10329132,10838264
0,2011,532354,12295340,12827694
0,2012,523940,11303654,11827594
0,2013,530418,11616641,12147059
0,2014,390292,11757731,12148023
0,2015,390593,11963239,12353832
0,2016,555423,13582128,14137551
0,2017,464976,14620447,15085423
0,2018,716751,14722897,15439648
0,2019,625631,14642083,15267714
1,1998,43902,7064002,7107904
1,1999,34754,7304902,7339656
1,2000,14818,7201413,7216231
1,2001,96814,8599673,8696487
1,2002,108685,10026948,10135633
1,2003,29704,10973463,11003167
1,2004,20399,11355221,11375620
1,2005,13290,11281386,11294676
1,2006,16884,11862656,11879540
1,2007,15184,12179536,12194720
1,2008,15194,11750030,11765224
1,2009,20861,13446921,13467782
1,2010,17946,12880198,12898144
1,2011,18906,13037581,13056487
1,2012,18008,13315509,13333517
1,2013,22187,13497461,13519648
1,2014,23834,13771507,13795341
1,2015,22125,13805335,13827460
1,2016,23320,14604798,14628118
1,2017,7535,14286646,14294181
1,2018,22520,14874836,14897356
1,2019,28492,14722203,14750695
2,1998,2380502,3711291,6091793
2,1999,2372152,4209772,6581924
2,2000,2504053,4204602,6708655
2,2001,2173777,4709412,6883189
2,2002,2429695,5517008,7946703
2,2003,2550229,6316639,8866868
2,2004,2761285,6457455,9218740
2,2005,2544100,6480283,9024383
2,2006,2665521,6850097,9515618
2,2007,2688086,7201539,9889625
2,2008,2810960,7252529,10063489
2,2009,3156040,7613109,10769149
2,2010,3095358,7597612,10692970
2,2011,3134719,7669347,10804066
2,2012,3395976,7816642,11212618
2,2013,3429091,7966162,11395253
2,2014,3522259,7522220,11044479
2,2015,3581852,7698455,11280307
2,2016,3290395,8280884,11571279
2,2017,3441945,8359005,11800950
2,2018,3193721,7563293,10757014
2,2019,2792221,7045644,9837865
3,1998,723877,5091553,5815430
3,1999,656748,5077785,5734533
3,2000,667758,5914107,6581865
3,2001,700003,5277365,5977368
3,2002,582618,5659031,6241649
3,2003,533217,5420691,5953908
3,2004,546663,6046552,6593215
3,2005,616301,5565291,6181592
3,2006,772563,5940568,6713131
3,2007,723294,6125480,6848774
3,2008,777791,6155003,6932794
3,2009,851639,6184356,7035995
3,2010,979596,5599299,6578895
3,2011,1041664,6854190,7895854
3,2012,1067079,7518201,8585280
3,2013,1041363,7301173,8342536
3,2014,1010027,7712248,8722275
3,2015,1096717,8065287,9162004
3,2016,1187200,6635568,7822768
3,2017,1171656,7441693,8613349
3,2018,1167620,7417002,8584622
3,2019,1171265,7669203,8840468
4,1998,114514,1484914,1599428
4,1999,132869,1404497,1537366
4,2000,151823,2412458,2564281
4,2001,177522,2799454,2976976
4,2002,196402,2818053,3014455
4,2003,196466,3092846,3289312
4,2004,209282,3156244,3365526
4,2005,203877,2730743,2934620
4,2006,199195,2996078,3195273
4,2007,198814,2918522,3117336
4,2008,218276,2935628,3153904
4,2009,228231,2910362,3138593
4,2010,220545,3047409,3267954
4,2011,227435,3104672,3332107
4,2012,225357,3176790,3402147
4,2013,208675,3101078,3309753
4,2014,152135,3020361,3172496
4,2015,154148,3060629,3214777
4,2016,205572,3141540,3347112
4,2017,294295,3531354,3825649
4,2018,211552,3806556,4018108
4,2019,271382,3818314,4089696
5,1998,125296,389386,514682
5,1999,120538,606298,726836
5,2000,129773,641185,770958
5,2001,129771,851408,981179
5,2002,140171,914085,1054256
5,2003,160667,1202416,1363083
5,2004,151408,1209445,1360853
5,2005,139793,1230063,1369856
5,2006,143057,1209384,1352441
5,2007,134109,1313688,1447797
5,2008,144108,1626316,1770424
5,2009,69846,1100234,1170080
5,2010,141266,1889205,2030471
5,2011,147295,2070537,2217832
5,2012,147295,2100451,2247746
5,2013,147295,2224443,2371738
5,2014,156144,2313730,2469874
5,2015,156005,2344001,2500006
5,2016,157603,2340599,2498202
5,2017,156739,2384852,2541591
5,2018,150903,1558363,1709266
5,2019,156484,1513674,1670158
6,1998,301858,662363,964221
6,1999,311122,461176,772298
6,2000,328179,888203,1216382
6,2001,335316,1193943,1529259
6,2002,352245,1008897,1361142
6,2003,352245,1031137,1383382
6,2004,352851,1343533,1696384
6,2005,328163,1399723,1727886
6,2006,333526,1422582,1756108
6,2007,331971,1431989,1763960
6,2008,335826,1476076,1811902
6,2009,332020,2084246,2416266
6,2010,395594,1497412,1893006
6,2011,410659,1504530,1915189
6,2012,417828,1593514,2011342
6,2013,417828,1656487,2074315
6,2014,417788,1758284,2176072
6,2015,418941,1833291,2252232
6,2016,420662,1554942,1975604
6,2017,417092,1911313,2328405
6,2018,417839,1914521,2332360
6,2019,421407,1934559,2355966
7,1998,178234,366798,545032
7,1999,172744,302656,475400
7,2000,190471,428495,618966
7,2001,186762,1110979,1297741
7,2002,188567,1470954,1659521
7,2003,188572,1481669,1670241
7,2004,198960,1496144,1695104
7,2005,198772,1486486,1685258
7,2006,205557,1454385,1659942
7,2007,198456,1576186,1774642
7,2008,199276,1606481,1805757
7,2009,200305,1498797,1699102
7,2010,214175,1631100,1845275
7,2011,214908,1529569,1744477
7,2012,230196,1687705,1917901
7,2013,230178,1737056,1967234
7,2014,230731,1762561,1993292
7,2015,232558,1793488,2026046
7,2016,224595,1826240,2050835
7,2017,225865,1856912,2082777
7,2018,234627,1825413,2060040
7,2019,237537,1970725,2208262
8,1998,222730,1118253,1340983
8,1999,135943,850503,986446
8,2000,293053,2016363,2309416
8,2001,296906,2127986,2424892
8,2002,315925,2178753,2494678
8,2003,346029,2204658,2550687
8,2004,321023,2144119,2465142
8,2005,329224,2308013,2637237
8,2006,391275,2255933,2647208
8,2007,330951,2176861,2507812
8,2008,367650,1826339,2193989
8,2009,349627,1865907,2215534
8,2010,238097,2132436,2370533
8,2011,251107,2119499,2370606
8,2012,260749,2004125,2264874
8,2013,338498,2026395,2364893
8,2014,343264,2134853,2478117
8,2015,336971,2065866,2402837
8,2016,354496,2113140,2467636
8,2017,356639,2169296,2525935
8,2018,379385,1772855,2152240
8,2019,384062,1967736,2351798
9,1998,559322,1090708,1650030
9,1999,567751,360371,928122
9,2000,571970,152340,724310
9,2001,595867,878767,1474634
9,2002,557275,694224,1251499
9,2003,558198,1114169,1672367
9,2004,494435,865356,1359791
9,2005,563981,1407646,1971627
9,2006,558923,1415732,1974655
9,2007,559765,1408397,1968162
9,2008,566990,1431199,1998189
9,2009,576692,1635649,2212341
9,2010,580743,1454199,2034942
9,2011,584018,1437698,2021716
9,2012,585913,1440055,2025968
9,2013,583503,1474442,2057945
9,2014,582999,1472043,2055042
9,2015,583712,1428327,2012039
9,2016,587680,1428396,2016076
9,2017,585965,1267506,1853471
9,2018,589580,1461418,2050998
9,2019,590863,1457720,2048583
10,1998,266037,1890290,2156327
10,1999,264015,2190496,2454511
10,2000,265096,2264579,2529675
10,2001,264513,2098051,2362564
10,2002,266812,2401034,2667846
10,2003,296600,2879373,3175973
10,2004,317059,2866294,3183353
10,2005,324452,2971020,3295472
10,2006,270077,2950367,3220444
10,2007,275507,2961814,3237321
10,2008,301487,2969284,3270771
10,2009,303881,3061668,3365549
10,2010,318562,3121395,3439957
10,2011,302268,1672208,1974476
10,2012,303600,1063642,1367242
10,2013,306895,1643147,1950042
10,2014,306403,1663615,1970018
10,2015,312691,1687362,2000053
10,2016,302155,1390985,1693140
10,2017,310326,1630554,1940880
10,2018,322453,1645032,1967485
10,2019,324416,1608320,1932736
11,1998,216967,2459,219426
11,1999,466209,819986,1286195
11,2000,360154,432573,792727
11,2001,442352,504348,946700
11,2002,593305,929923,1523228
11,2003,610000,862224,1472224
11,2004,507732,865730,1373462
11,2005,582451,900964,1483415
11,2006,212368,535100,747468
11,2007,540373,992509,1532882
11,2008,629833,976105,1605938
11,2009,617732,987460,1605192
11,2010,533067,731515,1264582
11,2011,634956,996172,1631128
11,2012,650278,926844,1577122
11,2013,587568,979628,1567196
11,2014,588476,981880,1570356
11,2015,589191,1041419,1630610
11,2016,585865,1059567,1645432
11,2017,152929,519264,672193
11,2018,610295,1069715,1680010
11,2019,611698,1076700,1688398
12,2012,16437,1670341,1686778
12,2013,16437,1560301,1576738
12,2014,16437,1474397,1490834
12,2015,16395,1607642,1624037
13,1998,230843,593066,823909
13,1999,233134,761945,995079
13,2000,241841,781675,1023516
13,2001,393350,876794,1270144
13,2002,416321,890935,1307256
13,2003,250029,805585,1055614
13,2004,417679,901256,1318935
13,2005,430339,915339,1345678
13,2006,440872,921219,1362091
13,2007,440834,929321,1370155
13,2008,459537,969977,1429514
13,2009,467672,809424,1277096
13,2010,465116,1006208,1471324
13,2011,464157,1013366,1477523
13,2012,464568,1044849,1509417
13,2013,468490,1062723,1531213
13,2014,465908,1081908,1547816
13,2015,481043,1119427,1600470
13,2016,512578,1110809,1623387
13,2017,508632,1128693,1637325
13,2018,508996,1130388,1639384
13,2019,503994,1173156,1677150
14,1998,47496,618693,666189
14,1999,3173,1104173,1107346
14,2000,71859,1091418,1163277
14,2001,167165,995474,1162639
14,2002,175221,1069837,1245058
14,2003,195079,1113952,1309031
14,2004,151286,1077092,1228378
14,2005,143362,1179011,1322373
14,2006,153645,1191294,1344939
14,2007,208795,1328731,1537526
14,2008,263972,1360639,1624611
14,2009,212763,1351621,1564384
14,2010,256953,1056790,1313743
14,2011,260838,1032374,1293212
14,2012,272363,1379463,1651826
14,2013,228489,1431432,1659921
14,2014,239414,1449487,1688901
14,2015,238690,1462126,1700816
14,2016,235743,1473686,1709429
14,2017,290882,1496270,1787152
14,2018,248211,1430353,1678564
