collection,year,title,references,other_sections,other_symbols,other_parts
usc,1994,1,2,11,0,0
usc,1995,1,2,11,0,0
usc,1996,1,2,11,0,0
usc,1997,1,2,11,0,0
usc,1998,1,2,11,0,0
usc,1999,1,2,11,0,0
usc,2000,1,2,11,0,0
usc,2001,1,2,11,0,0
usc,2002,1,2,11,0,0
usc,2003,1,2,11,0,0
usc,2004,1,4,14,0,0
usc,2005,1,4,14,0,0
usc,2006,1,4,14,0,0
usc,2007,1,4,14,0,0
usc,2008,1,4,14,0,0
usc,2009,1,4,14,0,0
usc,2010,1,4,14,0,0
usc,2011,1,4,14,0,0
usc,2012,1,4,14,0,0
usc,2013,1,4,14,0,0
usc,2014,1,4,14,0,0
usc,2015,1,4,14,0,0
usc,2016,1,4,14,0,0
usc,2017,1,4,14,0,0
usc,2018,1,4,14,0,0
usc,2019,1,4,14,0,0
usc,1994,2,773,183,0,0
usc,1995,2,973,228,0,0
usc,1996,2,962,225,0,0
usc,1997,2,924,208,0,0
usc,1998,2,938,217,0,0
usc,1999,2,942,212,0,0
usc,2000,2,957,224,0,0
usc,2001,2,971,224,0,0
usc,2002,2,1089,275,0,0
usc,2003,2,1097,274,0,0
usc,2004,2,1087,271,0,0
usc,2005,2,1100,277,0,0
usc,2006,2,1100,277,0,0
usc,2007,2,1127,283,0,0
usc,2008,2,1162,283,0,0
usc,2009,2,1160,278,0,0
usc,2010,2,1238,297,0,0
usc,2011,2,1241,297,0,0
usc,2012,2,1243,298,0,0
usc,2013,2,1231,295,0,0
usc,2014,2,1136,286,0,0
usc,2015,2,1137,287,0,0
usc,2016,2,1141,287,0,0
usc,2017,2,1146,288,0,0
usc,2018,2,1213,292,0,0
usc,2019,2,1292,313,0,0
usc,1994,3,46,11,0,0
usc,1995,3,46,11,0,0
usc,1996,3,88,60,0,0
usc,1997,3,88,60,0,0
usc,1998,3,90,62,0,0
usc,1999,3,90,62,0,0
usc,2000,3,90,62,0,0
usc,2001,3,90,62,0,0
usc,2002,3,90,62,0,0
usc,2003,3,90,62,0,0
usc,2004,3,91,62,0,0
usc,2005,3,91,62,0,0
usc,2006,3,91,55,0,0
usc,2007,3,91,55,0,0
usc,2008,3,91,55,0,0
usc,2009,3,91,55,0,0
usc,2010,3,91,55,0,0
usc,2011,3,91,55,0,0
usc,2012,3,91,55,0,0
usc,2013,3,91,55,0,0
usc,2014,3,91,55,0,0
usc,2015,3,91,55,0,0
usc,2016,3,91,55,0,0
usc,2017,3,91,55,0,0
usc,2018,3,91,55,0,0
usc,2019,3,91,55,0,0
usc,1994,4,8,4,0,0
usc,1995,4,10,15,0,0
usc,1996,4,10,15,0,0
usc,1997,4,10,15,0,0
usc,1998,4,10,17,0,0
usc,1999,4,10,17,0,0
usc,2000,4,26,28,0,0
usc,2001,4,26,28,0,0
usc,2002,4,26,28,0,0
usc,2003,4,26,28,0,0
usc,2004,4,26,28,0,0
usc,2005,4,26,28,0,0
usc,2006,4,26,29,0,0
usc,2007,4,26,29,0,0
usc,2008,4,26,29,0,0
usc,2009,4,26,29,0,0
usc,2010,4,26,29,0,0
usc,2011,4,26,29,0,0
usc,2012,4,26,29,0,0
usc,2013,4,26,29,0,0
usc,2014,4,26,29,0,0
usc,2015,4,26,29,0,0
usc,2016,4,26,29,0,0
usc,2017,4,26,29,0,0
usc,2018,4,27,30,0,0
usc,2019,4,27,30,0,0
usc,1994,5,2123,400,0,0
usc,1995,5,2082,393,0,0
usc,1996,5,2163,394,0,0
usc,1997,5,2183,395,0,0
usc,1998,5,2264,424,0,0
usc,1999,5,2300,434,0,0
usc,2000,5,2364,444,0,0
usc,2001,5,2392,448,0,0
usc,2002,5,2410,467,0,0
usc,2003,5,2465,477,0,0
usc,2004,5,2550,496,0,0
usc,2005,5,2555,494,0,0
usc,2006,5,2561,497,0,0
usc,2007,5,2582,498,0,0
usc,2008,5,2607,500,0,0
usc,2009,5,2628,505,0,0
usc,2010,5,2662,496,0,0
usc,2011,5,2676,496,0,0
usc,2012,5,2750,502,0,0
usc,2013,5,2753,503,0,0
usc,2014,5,2774,509,0,0
usc,2015,5,2790,515,0,0
usc,2016,5,2814,517,0,0
usc,2017,5,2860,521,0,0
usc,2018,5,2876,532,0,0
usc,2019,5,2898,536,0,0
usc,1994,6,0,0,0,0
usc,1995,6,0,0,0,0
usc,1996,6,0,0,0,0
usc,1997,6,0,0,0,0
usc,1998,6,0,0,0,0
usc,1999,6,0,0,0,0
usc,2000,6,0,0,0,0
usc,2001,6,0,0,0,0
usc,2002,6,230,65,0,0
usc,2003,6,235,67,0,0
usc,2004,6,252,69,0,0
usc,2005,6,253,67,0,0
usc,2006,6,364,81,0,0
usc,2007,6,657,107,0,0
usc,2008,6,665,109,0,0
usc,2009,6,668,109,0,0
usc,2010,6,675,110,0,0
usc,2011,6,676,110,0,0
usc,2012,6,678,110,0,0
usc,2013,6,675,110,0,0
usc,2014,6,739,117,0,0
usc,2015,6,844,127,0,0
usc,2016,6,898,137,0,0
usc,2017,6,899,138,0,0
usc,2018,6,937,144,0,0
usc,2019,6,946,148,0,0
usc,1994,7,1423,221,0,0
usc,1995,7,2919,495,0,2
usc,1996,7,2965,393,0,2
usc,1997,7,2980,395,0,2
usc,1998,7,3068,416,0,2
usc,1999,7,3079,417,0,2
usc,2000,7,3341,516,0,2
usc,2001,7,3346,516,0,2
usc,2002,7,3690,558,0,2
usc,2003,7,3693,556,0,2
usc,2004,7,3650,565,0,2
usc,2005,7,3673,565,0,2
usc,2006,7,3672,565,0,2
usc,2007,7,3687,565,0,2
usc,2008,7,4048,628,0,2
usc,2009,7,4054,638,0,2
usc,2010,7,4107,652,0,2
usc,2011,7,4212,659,0,2
usc,2012,7,4222,664,0,2
usc,2013,7,4222,664,0,2
usc,2014,7,4542,672,0,2
usc,2015,7,4552,671,0,2
usc,2016,7,4566,671,0,2
usc,2017,7,4559,651,0,2
usc,2018,7,4736,684,0,2
usc,2019,7,4754,692,0,2
usc,1994,8,1040,140,0,0
usc,1995,8,1033,140,0,0
usc,1996,8,1379,212,0,0
usc,1997,8,1432,248,0,0
usc,1998,8,1474,245,0,0
usc,1999,8,1493,248,0,0
usc,2000,8,1652,259,0,5
usc,2001,8,1664,258,0,5
usc,2002,8,1749,263,0,5
usc,2003,8,1794,264,0,5
usc,2004,8,1827,266,0,5
usc,2005,8,1902,284,0,5
usc,2006,8,1899,282,0,5
usc,2007,8,1904,283,0,5
usc,2008,8,2001,307,0,5
usc,2009,8,2010,307,0,5
usc,2010,8,2011,307,0,5
usc,2011,8,2011,307,0,5
usc,2012,8,2011,307,0,5
usc,2013,8,2021,310,0,5
usc,2014,8,2019,310,0,5
usc,2015,8,2029,310,0,5
usc,2016,8,2027,310,0,5
usc,2017,8,2027,310,0,5
usc,2018,8,2027,310,0,5
usc,2019,8,2032,310,0,5
usc,1994,9,13,2,0,0
usc,1995,9,13,2,0,0
usc,1996,9,13,2,0,0
usc,1997,9,13,2,0,0
usc,1998,9,13,2,0,0
usc,1999,9,13,2,0,0
usc,2000,9,13,2,0,0
usc,2001,9,13,2,0,0
usc,2002,9,13,2,0,0
usc,2003,9,13,2,0,0
usc,2004,9,13,2,0,0
usc,2005,9,13,2,0,0
usc,2006,9,13,2,0,0
usc,2007,9,13,2,0,0
