key,document_type,heading,law_name
BJNR004370909_StVG_19981231_000045,statute,§ 6,Straßenverkehrsgesetz
BJNR004370909_StVG_19981231_000128,statute,§ 24b,Straßenverkehrsgesetz
BJNR004310981_SchwbAwV_20010630_000011,regulation,§ 3,Schwerbehindertenausweisverordnung
BJNR013980975_StVZOÄndV-1975_20060930_000002,regulation,Eingangsformel,Verordnung zur Änderung der Straßenverkehrs-Zulassungs-Ordnung
BJNR003930981_StVZOAusnV-28_19981231_000002,regulation,Eingangsformel,Achtundzwanzigste Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Zulassungs-Ordnung
BJNR039400993_StVRAusnV_19981231_000002,regulation,Eingangsformel,Verordnung über Ausnahmen von straßenverkehrsrechtlichen Vorschriften
BJNR012090972_StVZOÄndV-1972_20060930_000002,regulation,Eingangsformel,Verordnung zur Änderung der Straßenverkehrs-Zulassungs-Ordnung
BJNR006380973_StVZOÄndV-1973-06_20060930_000002,regulation,Eingangsformel,Verordnung zur Änderung der Straßenverkehrs-Zulassungs-Ordnung
BJNR020080992_StVZOAusnV-41_19981231_000002,regulation,Eingangsformel,Einundvierzigste Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Zulassungs-Ordnung
BJNR365100998_StVZOAusnV-54_99999999_000002,regulation,Eingangsformel,Vierundfünfzigste Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Zulassungs-Ordnung
BJNR005620988_StVZOAusnV-35_20130731_000002,regulation,Eingangsformel,Fünfunddreißigste Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Zulassungs-Ordnung
BJNR004710987_StVZOAusnV-33_19981231_000002,regulation,Eingangsformel,Dreiunddreißigste Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Zulassungs-Ordnung
BJNR007740985_FerReiseV-1985_20011106_000002,regulation,Eingangsformel,Verordnung zur Erleichterung des Ferienreiseverkehrs auf der Straße
BJNR004370909_StVG_19981231_000020,statute,§ 2c,Straßenverkehrsgesetz
BJNR018240978_BABRiGeschwV-1978_20090831_000002,regulation,Eingangsformel,Verordnung über eine allgemeine Richtgeschwindigkeit auf Autobahnen und ähnlichen Straßen
BJNR018100989_StVRAusnÄndV_20070228_000002,regulation,Eingangsformel,Verordnung über Ausnahmen und Änderungen von straßenverkehrsrechtlichen Vorschriften
BJNR011830981_StVZOAusnV-29_19981231_000002,regulation,Eingangsformel,Neunundzwanzigste Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Zulassungs-Ordnung
BJNR007440974_StVZOAusnV-23_20060930_000002,regulation,Eingangsformel,Dreiundzwanzigste Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Zulassungs-Ordnung
BJNR001860955_MietPkwÜbwV_20070228_000002,regulation,Eingangsformel,Verordnung über die Überwachung von gewerbsmäßig an Selbstfahrer zu vermietenden Kraftfahrzeugen und Anhängern
BJNR013070969_EWGV543-69DV_19981231_000002,regulation,Eingangsformel,Verordnung zur Durchführung des Fahrpersonalgesetzes
BJNR004500962_StVZOAusnV-6_20011106_000002,regulation,Eingangsformel,Sechste Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Zulassungs-Ordnung
BJNR214200998_FzTV_20000331_000002,regulation,Eingangsformel,Verordnung über die Prüfung und Genehmigung der Bauart von Fahrzeugteilen sowie deren Kennzeichnung
BJNR003390986_StVZOAusnV-31_19981231_000002,regulation,Eingangsformel,Einunddreißigste Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Zulassungs-Ordnung
BJNR020230971_EWGBauartGenV_99999999_000002,regulation,Eingangsformel,Verordnung über EWG-Bauartgenehmigungen für Kontrollgeräte und Schaublätter
BJNR011240992_StVOAusnV-4_99999999_000002,regulation,Eingangsformel,Vierte Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Ordnung
BJNR319600997_StVOAusnV-7_20021129_000002,regulation,Eingangsformel,Siebte Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Ordnung
BJNR062400994_StVOAusnV-6_20051231_000002,regulation,Eingangsformel,Sechste Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Ordnung
BJNR036100993_StVZOAusnV-43_20000331_000002,regulation,Eingangsformel,Dreiundvierzigste Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Zulassungs-Ordnung
BJNR320300997_EG-TypVAusnV-1_20130731_000002,regulation,Eingangsformel,Erste Verordnung über Ausnahmen von der Verordnung über die EG-Typgenehmigung für Fahrzeuge und Fahrzeugteile
BJNR012090972_StVZOÄndV-1972_20060930_000003,regulation,Art 1 bis 3,Verordnung zur Änderung der Straßenverkehrs-Zulassungs-Ordnung
BJNR131900996_StVZOAusnV-52_99999999_000002,regulation,Eingangsformel,Zweiundfünfzigste Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Zulassungs-Ordnung
BJNR109400994_StVZOAusnV-47_99999999_000002,regulation,Eingangsformel,Siebenundvierzigste Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Zulassungs-Ordnung
BJNR009990990_StVOuaVsAusnV-3_99999999_000002,regulation,Eingangsformel,Dritte Verordnung über Ausnahmen von straßenverkehrsrechtlichen Vorschriften
BJNR004370909_StVG_19981231_000119,statute,§ 24,Straßenverkehrsgesetz
BJNR023920991_StVZOAusnV-40_20000331_000002,regulation,Eingangsformel,Vierzigste Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Zulassungs-Ordnung
BJNR113000998_StVOAusnV-8_99999999_000002,regulation,Eingangsformel,Achte Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Ordnung
BJNR004370909_StVG_19981231_000016,statute,§ 2b,Straßenverkehrsgesetz
BJNR004370909_StVG_19981231_000006,statute,§ 2,Straßenverkehrsgesetz
BJNR004880951_KBAG_19991231_000006,statute,§ 2,Gesetz über die Errichtung eines Kraftfahrt-Bundesamtes
BJNR317100998_StVOAusnV-9_20010406_000002,regulation,Eingangsformel,Neunte Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Ordnung
BJNR005500990_StVOAusnV-2_20051231_000002,regulation,Eingangsformel,Zweite Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Ordnung
BJNR004370909_StVG_19981231_000003,statute,§ 1,Straßenverkehrsgesetz
BJNR062300994_StVOAusnV-5_99999999_000002,regulation,Eingangsformel,Fünfte Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Ordnung
BJNR166500997_StVZOAusnV-53_20130731_000002,regulation,Eingangsformel,Dreiundfünfzigste Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Zulassungs-Ordnung
BJNR043800993_StVZOAusnV-44_20031031_000002,regulation,Eingangsformel,Vierundvierzigste Verordnung über Ausnahmen von den Vorschriften der Straßenverkehrs-Zulassungs-Ordnung
