key,document_type,heading,law_name
BJNR004810968_OWiG-1968_19981231_000130,statute,§ 36,Gesetz über Ordnungswidrigkeiten
BJNR008990956_SchBerG_20011231_000087,statute,§ 27,Gesetz über die Beschränkung von Grundeigentum für die militärische Verteidigung
BJNR013100980_BBergG_19981231_000524,statute,§ 145,Bundesberggesetz
BJNR206190990_BinWaStrBGRAbkG_20011106_000006,statute,Art 5,Gesetz zu dem Abkommen vom 4. Juli 1989 zwischen der Regierung der Bundesrepublik Deutschland und der Regierung der Volksrepublik Bulgarien über die Schiffahrt auf den Binnenwasserstraßen
BJNR018150971_BlumQNormV_20011231_000002,regulation,Eingangsformel,"Verordnung über Qualitätsnormen für Blumenbulben, -zwiebeln und -knollen sowie frische Schnittblumen und frisches Blattwerk"
BJNR023530988_MinÖlDatG_20001231_000016,statute,§ 6,Gesetz über die Erhebung von Meldungen in der Mineralölwirtschaft
BJNR036810974_EnSiG-1975_19981231_000057,statute,§ 16,Gesetz zur Sicherung der Energieversorgung
BJNR101900996_AMbG_20011106_000036,statute,§ 13,Allgemeines Magnetschwebebahngesetz
BJNR020680992_FSBetrV_20011106_000062,regulation,§ 26,Verordnung über die Durchführung der Flugsicherung
BJNR109860969_AuslInvestmG_19981231_000125,statute,§ 21,"Gesetz über den Vertrieb ausländischer Investmentanteile und über die Besteuerung der Erträge aus ausländischen Investmentanteilen (Erster Teil des Gesetzes über den Vertrieb ausländischer Investmentanteile, über die Besteuerung ihrer Erträge sowie zur Änderung und Ergänzung des Gesetzes über Kapitalanlagegesellschaften)"
BJNR013890968_ZKtgScheinG_20090324_000015,statute,§ 8,Gesetz über das Verfahren bei der Erteilung von Zollkontingentscheinen
BJNR001350951_MilchFettG_20000510_000085,statute,§ 30,"Gesetz über den Verkehr mit Milch, Milcherzeugnissen und Fetten"
BJNR009200965_WiSiG-1965_20001231_000062,statute,§ 21,Gesetz über die Sicherstellung von Leistungen auf dem Gebiet der gewerblichen Wirtschaft sowie des Geld- und Kapitalverkehrs
BJNR016370971_ObstQNormV_19990322_000015,regulation,§ 8,Verordnung über EG-Normen für Obst und Gemüse
BJNR270500994_AbfVVBG_20100228_000004,statute,Art 11,"Gesetz zur Vermeidung, Verwertung und Beseitigung von Abfällen"
BJNR004440961_KrWaffKontrG_19981231_000125,statute,§ 23,Ausführungsgesetz zu Artikel 26 Abs. 2 des Grundgesetzes
BJNR001180988_ZSG10WiZustV_20060222_000002,regulation,Eingangsformel,Verordnung über die Zuständigkeit für die Verfolgung und Ahndung von Ordnungswidrigkeiten nach § 12 des Gesetzes über den Zivilschutz
BJNR249820998_WVögelAbkG_20011106_000009,statute,Art 4,Gesetz zu dem Abkommen vom 16. Juni 1995 zur Erhaltung der afrikanisch-eurasischen wandernden Wasservögel
BJNR009200995_KWMV_19990611_000002,regulation,Eingangsformel,Verordnung über Meldepflichten für bestimmte Kriegswaffen
BJNR005830933_SchBkG_19981231_000102,statute,§ 41,Gesetz über Schiffspfandbriefbanken
BJNR297900994_BGSG-1994_19990621_000049,statute,§ 13,Gesetz über die Bundespolizei
BJNR148510998_GüKG-1998_20010906_000076,statute,§ 16,Güterkraftverkehrsgesetz
BJNR036100974_BetrAVG_19981231_000058,statute,§ 12,Gesetz zur Verbesserung der betrieblichen Altersversorgung
BJNR009850972_VplG_20080516_000012,statute,§ 5,Gesetz über die Verplombung im Durchgangsverkehr von zivilen Gütern zwischen der Bundesrepublik Deutschland und Berlin (West)
BJNR003830956_BWahlG_19990531_000182,statute,§ 49a,Bundeswahlgesetz
BJNR163900995_VerstromG-5_20001231_000021,statute,§ 4,Gesetz über Hilfen für den deutschen Steinkohlebergbau bis zum Jahr 2005
BJNR002720951_ViehFlG_20011106_000078,statute,§ 23,Gesetz über den Verkehr mit Vieh und Fleisch
BJNR176530994_ABBG_20001231_000015,statute,§ 4,Gesetz zur Durchführung des Übereinkommens vom 9. Februar 1994 über die Erhebung von Gebühren für die Benutzung bestimmter Straßen mit schweren Nutzfahrzeugen
BJNR213780990_OstSVerschmVÄndV-8_20021227_000002,regulation,Eingangsformel,Achte Verordnung zur Inkraftsetzung von Änderungen der Anlagen des Übereinkommens über den Schutz der Meeresumwelt des Ostseegebiets
BJNR239600993_AEG-1994_19981231_000131,statute,§ 29,Allgemeines Eisenbahngesetz
BJNR006670956_AuslPflVG_20011106_000031,statute,§ 9a,Gesetz über die Haftpflichtversicherung für ausländische Kraftfahrzeuge und Kraftfahrzeuganhänger
BJNR195400994_CWÜAG_20001231_000045,statute,§ 15,"Ausführungsgesetz zu dem Übereinkommen vom 13. Januar 1993 über das Verbot der Entwicklung, Herstellung, Lagerung und des Einsatzes chemischer Waffen und über die Vernichtung solcher Waffen"
BJNR288200998_EMVG-1998_19981231_000068,statute,§ 12,Gesetz über die elektromagnetische Verträglichkeit von Geräten
BJNR067700994_SGSV_19991231_000002,regulation,Eingangsformel,Verordnung über Statistiken des Straßengüterverkehrs
BJNR014270971_FVG-1971_19991231_000063,statute,§ 12c,Gesetz über die Finanzverwaltung
BJNR003750899_HypBkG_19981231_000096,statute,§ 39a,Hypothekenbankgesetz
BJNR007520978_LMGWBVwZustV_20060930_000002,regulation,Eingangsformel,Verordnung über die Zuständigkeit der Wehrbereichsverwaltungen für die Verfolgung und Ahndung von Ordnungswidrigkeiten nach dem Lebensmittel- und Bedarfsgegenständegesetz
BJNR205690984_WildTArtÜbkG_20011231_000008,statute,Art 4,Gesetz zu dem Übereinkommen vom 23. Juni 1979 zur Erhaltung der wandernden wildlebenden Tierarten
BJNR015050986_PflSchG-1986_20011106_000232,statute,§ 40,Gesetz zum Schutz der Kulturpflanzen
BJNR007000953_GeschlKrG_20001231_000095,statute,§ 27,Gesetz zur Bekämpfung der Geschlechtskrankheiten
BJNR135500998_FischRDV-1998_19990726_000002,regulation,Eingangsformel,Verordnung zur Durchsetzung des Fischereirechts der Europäischen Union
BJNR077020993_BinSchAbkROMG_20011106_000006,statute,Art 5,Gesetz zu dem Abkommen vom 22. Oktober 1991 zwischen der Regierung der Bundesrepublik Deutschland und der Regierung von Rumänien über die Schiffahrt auf den Binnenwasserstraßen
BJNR005420985_HdlKlKartV-1985_20110630_000002,regulation,Eingangsformel,Verordnung über gesetzliche Handelsklassen für Speisekartoffeln
BJNR016170972_MOG_20001231_000133,statute,§ 38,Gesetz zur Durchführung der gemeinsamen Marktorganisationen und der Direktzahlungen
BJNR021210975_GefahrgutG_20011106_000045,statute,§ 9a,Gesetz über die Beförderung gefährlicher Güter
BJNR130070990_FAfV_19990114_000002,regulation,Eingangsformel,Verordnung über die Abgaben nach dem Forstabsatzfondsgesetz
