key,document_type,heading,law_name
BJNR005190909_ViehSeuchG_20010221_000187,statute,§ 76,Tierseuchengesetz
BJNR011720991_MilzbRbV_20140430_000029,regulation,§ 10,Verordnung zum Schutz gegen den Milzbrand und den Rauschbrand
BJNR000150978_TierImpfStV_20011106_000148,regulation,§ 38,"Verordnung über Sera, Impfstoffe und Antigene nach dem Tierseuchengesetz"
BJNR005190909_ViehSeuchG_20010221_000179,statute,§ 73a,Tierseuchengesetz
BJNR010460972_BrucelloseV_20011106_000070,regulation,§ 23,"Verordnung zum Schutz gegen die Brucellose der Rinder, Schweine, Schafe und Ziegen"
BJNR502100998_SchwPestVerbrV-1998_19990305_000004,regulation,§ 2,Verordnung über zusätzliche Schutzmaßnahmen gegen die Schweinepest beim Verbringen von Schweinen
BJNR021000976_LeukoseV-1976_20051223_000032,regulation,§ 12,Verordnung zum Schutz gegen die Leukose der Rinder
BJNR010950983_TKrMeldpflV-1983_20000425_000008,regulation,§ 4,Verordnung über meldepflichtige Tierkrankheiten
BJNR019600971_TierSeuchErEinfV_20011106_000023,regulation,§ 8,Verordnung über das innergemeinschaftliche Verbringen und die Einfuhr von Tierseuchenerregern
BJNR009150972_RindTbV_20090622_000058,regulation,§ 17,Verordnung zum Schutz gegen die Tuberkulose des Rindes
BJNR015590988_SchwPestV-1988_19990512_000110,regulation,§ 25,Verordnung zum Schutz gegen die Schweinepest und die Afrikanische Schweinepest
BJNR005190909_ViehSeuchG_20010221_000170,statute,§ 73,Tierseuchengesetz
BJNR005190909_ViehSeuchG_20010221_000205,statute,§ 79a,Tierseuchengesetz
BJNR043310994_VSchwKrSchV_20001227_000044,regulation,§ 15,Verordnung zum Schutz gegen die Vesikuläre Schweinekrankheit
BJNR011680991_TollwV-1991_20001227_000048,regulation,§ 15,Verordnung zum Schutz gegen die Tollwut
BJNR005190909_ViehSeuchG_20010221_000070,statute,§ 17a,Tierseuchengesetz
BJNR000070972_RindSalmV_20091223_000029,regulation,§ 8,Verordnung zum Schutz gegen die Salmonellose der Rinder
BJNR005190909_ViehSeuchG_20010221_000048,statute,§ 10,Tierseuchengesetz
BJNR005190909_ViehSeuchG_20010221_000083,statute,§ 17d,Tierseuchengesetz
BJNR006050973_TierSeuchSchNOKanV_20140430_000017,regulation,§ 5,"Verordnung über die Beförderung von Tieren, Teilen, Erzeugnissen und Rohstoffen von Tieren sowie von sonstigen Gegenständen, die Träger von Ansteckungsstoff sein können, durch den Nord-Ostsee-Kanal"
BJNR056500997_BSESchutzV-2_20011129_000007,regulation,§ 5,Zweite Verordnung zum Schutz gegen die Spongiforme Rinderenzephalopathie
BJNR005190909_ViehSeuchG_20010221_000057,statute,§ 13,Tierseuchengesetz
BJNR005190909_ViehSeuchG_20010221_000099,statute,§ 18,Tierseuchengesetz
BJNR005190909_ViehSeuchG_20010221_000040,statute,§ 8,Tierseuchengesetz
BJNR010550970_PsittakoseV_19991021_000051,regulation,§ 13,Verordnung zum Schutz gegen die Psittakose und Ornithose
BJNR018450975_BlutArmV_20000425_000042,regulation,§ 13,Verordnung zum Schutz gegen die ansteckende Blutarmut der Einhufer
BJNR005190909_ViehSeuchG_20010221_000036,statute,§ 7c,Tierseuchengesetz
BJNR017100987_SchwKrSpBezV_20051223_000009,regulation,§ 3,Verordnung über Sperrbezirke bei Ansteckender Schweinelähmung
BJNR012080988_TierSeuchSchwHaltV_19990611_000063,regulation,§ 17,Verordnung zum Schutz gegen die Gefährdung durch Tierseuchen bei der Haltung großer Schweinebestände
BJNR275800997_BHV1V_20000425_000029,regulation,§ 8,Verordnung zum Schutz der Rinder vor einer Infektion mit dem Bovinen Herpesvirus Typ 1
BJNR005190909_ViehSeuchG_20010221_000206,statute,§ 79b,Tierseuchengesetz
BJNR506300996_TierSeuchBSEV-1996_20011129_000008,regulation,§ 3,Verordnung über das Verbot des innergemeinschaftlichen Verbringens und der Einfuhr von Rindern aus der Schweiz zur Verhütung der Einschleppung der Spongiformen Rinderenzephalopathie sowie über zusätzliche Kontrollen beim innergemeinschaftlichen Verbringen und der Einfuhr von Rindern
BJNR054400995_MilchHQV_19981231_000089,regulation,§ 27,Verordnung über Hygiene- und Qualitätsanforderungen an Milch und Erzeugnisse auf Milchbasis
BJNR073700993_FuttMHV_20000425_000017,regulation,§ 6,"Verordnung über Betriebe, die Tierkörper, Tierkörperteile und Erzeugnisse tierischer Herkunft zu Futtermitteln oder zu pharmazeutischen oder technischen Erzeugnissen verarbeiten"
BJNR077000994_HSV_20001227_000032,regulation,§ 11,Verordnung zum Schutz gegen bestimmte Salmonelleninfektionen beim Haushuhn
BJNR005190909_ViehSeuchG_20010221_000056,statute,§ 12,Tierseuchengesetz
BJNR005190909_ViehSeuchG_20010221_000195,statute,§ 78a,Tierseuchengesetz
BJNR025090972_GeflPestV_20000425_000069,regulation,§ 22,Verordnung zum Schutz gegen die Geflügelpest und die Newcastle-Krankheit
BJNR017030987_MKSeuchV-1987_20010331_000047,regulation,§ 15,Verordnung zum Schutz gegen die Maul- und Klauenseuche
BJNR021230985_TierSeuchErV_20111006_000023,regulation,§ 10,Verordnung über das Arbeiten mit Tierseuchenerregern
BJNR005190909_ViehSeuchG_20010221_000093,statute,§ 17g,Tierseuchengesetz
BJNR005190909_ViehSeuchG_20010221_000026,statute,§ 6,Tierseuchengesetz
BJNR005030982_ViehVerkV_19990730_000115,regulation,§ 25,Verordnung zum Schutz gegen die Verschleppung von Tierseuchen im Viehverkehr
BJNR005190909_ViehSeuchG_20010221_000138,statute,§ 64,Tierseuchengesetz
BJNR005190909_ViehSeuchG_20010221_000139,statute,§ 65,Tierseuchengesetz
BJNR005190909_ViehSeuchG_20010221_000097,statute,§ 17h,Tierseuchengesetz
BJNR004880980_AujeszkKrV_20000425_000048,regulation,§ 16,Verordnung zum Schutz gegen die Aujeszkysche Krankheit
BJNR005190909_ViehSeuchG_20010221_000052,statute,§ 11,Tierseuchengesetz
BJNR005190909_ViehSeuchG_20010221_000010,statute,§ 2a,Tierseuchengesetz
BJNR005190909_ViehSeuchG_20010221_000192,statute,§ 77,Tierseuchengesetz
BJNR013070975_RDeckInfV_20051223_000032,regulation,§ 13,Verordnung zum Schutz gegen übertragbare Geschlechtskrankheiten der Rinder
BJNR024370992_TierSeuchSchBMV_19990512_000146,regulation,§ 41,Verordnung über das innergemeinschaftliche Verbringen sowie die Einfuhr und Durchfuhr von Tieren und Waren
BJNR005190909_ViehSeuchG_20010221_000066,statute,§ 17,Tierseuchengesetz
BJNR393600994_FischSeuchV_20001227_000078,regulation,§ 19,"Verordnung zum Schutz gegen Fischseuchen, Muschelkrankheiten und zur Schaffung seuchenfreier Fischhaltungsbetriebe und Gebiete"
BJNR005940972_BienSeuchV_20000425_000056,regulation,§ 16,Bienenseuchen-Verordnung
BJNR005190909_ViehSeuchG_20010221_000074,statute,§ 17b,Tierseuchengesetz
