key,document_type,heading,law_name
BJNR005330950_ZPO_19981231_001021,statute,§ 383,Zivilprozessordnung
BJNR059500997_SGB-3_19981231_000915,statute,§ 300,"Sozialgesetzbuch (SGB) Drittes Buch (III) - Arbeitsförderung - (Artikel 1 des Gesetzes vom 24. März 1997, BGBl. I S. 594)"
BJNR009270965_VerkSiG_20011106_000062,statute,§ 15,Gesetz zur Sicherstellung des Verkehrs
BJNR270510994_KrW--AbfG_19990228_000170,statute,§ 40,Gesetz zur Förderung der Kreislaufwirtschaft und Sicherung der umweltverträglichen Beseitigung von Abfällen
BJNR124610996_ArbSchG_19981231_000074,statute,§ 22,Gesetz über die Durchführung von Maßnahmen des Arbeitsschutzes zur Verbesserung der Sicherheit und des Gesundheitsschutzes der Beschäftigten bei der Arbeit
BJNR019460974_LMG-1974_20001231_000145,statute,§ 41,Vorläufiges Tabakgesetz
BJNR016570988_EO-1988_20000831_000304,regulation,§ 69,Eichordnung
BJNR008030979_FFG-1979_19981231_000282,statute,§ 70,Gesetz über Maßnahmen zur Förderung des deutschen Films
BJNR011840979_UhVorschG_19991231_000017,statute,§ 6,Gesetz zur Sicherung des Unterhalts von Kindern alleinstehender Mütter und Väter durch Unterhaltsvorschüsse oder -ausfalleistungen
BJNR005190909_ViehSeuchG_20010221_000170,statute,§ 73,Tierseuchengesetz
BJNR015820991_StillG-1991_20020411_000024,statute,§ 7,Gesetz über die Förderung einer einjährigen Flächenstillegung im Wirtschaftsjahr 1991/92
BJNR027370976_SprengG-1976_19981231_000119,statute,§ 31,Gesetz über explosionsgefährliche Stoffe
BJNR195400994_CWÜAG_20001231_000037,statute,§ 11,"Ausführungsgesetz zu dem Übereinkommen vom 13. Januar 1993 über das Verbot der Entwicklung, Herstellung, Lagerung und des Einsatzes chemischer Waffen und über die Vernichtung solcher Waffen"
BJNR016080976_MarktONOG_20011106_000007,statute,§ 16,Gesetz über Meldungen über Marktordnungswaren
BJNR035740976_BNatSchG_20010802_000181,statute,§ 23,Gesetz über Naturschutz und Landschaftspflege
BJNR004440961_KrWaffKontrG_19981231_000071,statute,§ 14,Ausführungsgesetz zu Artikel 26 Abs. 2 des Grundgesetzes
BJNR283500994_GÜG_20011106_000064,statute,§ 21,"Gesetz zur Überwachung des Verkehrs mit Grundstoffen, die für die unerlaubte Herstellung von Betäubungsmitteln mißbraucht werden können"
BJNR237800994_PTSG_20011106_000015,statute,§ 4,Gesetz zur Sicherstellung des Postwesens und der Telekommunikation
BJNR002770971_FahrpersStG_20011106_000007,statute,§ 4,Gesetz über das Fahrpersonal von Kraftfahrzeugen und Straßenbahnen
BJNR247010998_FlUUG_20011106_000060,statute,§ 16,Gesetz über die Untersuchung von Unfällen und Störungen bei dem Betrieb ziviler Luftfahrzeuge
BJNR007600986_TrinkwV-1986_20001220_000065,regulation,§ 16,Verordnung über Trinkwasser und über Wasser für Lebensmittelbetriebe
BJNR013030968_HdlKlG_20011106_000012,statute,§ 5,Handelsklassengesetz
BJNR010370975_BWaldG_19981231_000134,statute,§ 42,Gesetz zur Erhaltung des Waldes und zur Förderung der Forstwirtschaft
BJNR002250951_AEG_20000510_000010,statute,§ 6f,Allgemeines Eisenbahngesetz
BJNR014110953_HwO_19981231_000416,statute,§ 111,Gesetz zur Ordnung des Handwerks
BJNR001570896_BörsG_19981231_000010,statute,§ 1a,Börsengesetz
BJNR239600993_AEG-1994_19981231_000109,statute,§ 23,Allgemeines Eisenbahngesetz
BJNR078200995_MBergG_20011106_000027,statute,§ 8,Gesetz zur Regelung des Meeresbodenbergbaus
BJNR014350989_LaFG_20011231_000028,statute,§ 6,Gesetz zur Förderung der bäuerlichen Landwirtschaft
BJNR003410960_BBauG_19981231_000604,statute,§ 138,Baugesetzbuch
BJNR308210994_MarkenG_19981231_000528,statute,§ 134,Gesetz über den Schutz von Marken und sonstigen Kennzeichen
BJNR013100980_BBergG_19981231_000249,statute,§ 70,Bundesberggesetz
BJNR005330950_ZPO_19981231_000986,statute,§ 372a,Zivilprozessordnung
BJNR010730978_ErdölBevG_19981231_000135,statute,§ 33,Gesetz über die Bevorratung mit Erdöl und Erdölerzeugnissen
BJNR059500997_SGB-3_19981231_000887,statute,§ 288a,"Sozialgesetzbuch (SGB) Drittes Buch (III) - Arbeitsförderung - (Artikel 1 des Gesetzes vom 24. März 1997, BGBl. I S. 594)"
BJNR114690980_SGB-10_20000831_000080,statute,§ 22,Zehntes Buch Sozialgesetzbuch - Sozialverwaltungsverfahren und Sozialdatenschutz -
BJNR004810961_AWG_19981231_000173,statute,§ 44,Außenwirtschaftsgesetz
BJNR196300994_MPG_20011106_000107,statute,§ 26,Gesetz über Medizinprodukte
BJNR017180980_ChemG_20001230_000136,statute,§ 21,Gesetz zum Schutz vor gefährlichen Stoffen
BJNR012340971_BzBlG_20001231_000026,statute,§ 5,Gesetz zur Verminderung von Luftverunreinigungen durch Bleiverbindungen in Ottokraftstoffen für Kraftfahrzeugmotore
BJNR010810957_WettbewG_19981231_000218,statute,§ 46,Gesetz gegen Wettbewerbsbeschränkungen
BJNR125410996_SGB-7_19981231_000069,statute,§ 19,"Siebtes Buch Sozialgesetzbuch - Gesetzliche Unfallversicherung - (Artikel 1 des Gesetzes vom 7. August 1996, BGBl. I S. 1254)"
BJNR001640981_KraftBevV_19990930_000017,regulation,§ 7,Verordnung über die Brennstoffbevorratung von Kraftwerken
BJNR117100994_ArbZG_19981231_000068,statute,§ 17,Arbeitszeitgesetz
