key,document_type,heading,law_name
BJNR006049896_BGBEG_20191231_000385,statute,Art 229 Weitere Überleitungsvorschriften,Einführungsgesetz zum Bürgerlichen Gesetzbuche
BJNR024480976_AMG-1976_20200229_000837,statute,§ 84a,Gesetz über den Verkehr mit Arzneimitteln
BJNR001950896_BGB_20191231_003549,statute,§ 1193,Bürgerliches Gesetzbuch
BJNR030150975_SGB-1_20201031_000222,statute,§ 70,"Sozialgesetzbuch (SGB) Erstes Buch (I) - Allgemeiner Teil - (Artikel I des Gesetzes vom 11. Dezember 1975, BGBl. I S. 3015)"
BJNR114690980_SGB-10_20191231_000531,statute,§ 120,Zehntes Buch Sozialgesetzbuch - Sozialverwaltungsverfahren und Sozialdatenschutz -
BJNR012530976_VwVfG_20201031_000409,statute,§ 102,Verwaltungsverfahrensgesetz
BJNR001950896_BGB_20191231_000721,statute,§ 312d,Bürgerliches Gesetzbuch
BJNR001950896_BGB_20191231_000615,statute,§ 284,Bürgerliches Gesetzbuch
BJNR006049896_BGBEG_20191231_000059,statute,Art 17a Ehewohnung,Einführungsgesetz zum Bürgerlichen Gesetzbuche
BJNR001750954_WiStrG-1954_20191231_000018,statute,§ 5,Gesetz zur weiteren Vereinfachung des Wirtschaftsstrafrechts
BJNR001950896_BGB_20191231_001195,statute,§ 481b,Bürgerliches Gesetzbuch
BJNR001950896_BGB_20191231_001301,statute,§ 502,Bürgerliches Gesetzbuch
BJNR039010004_GeschmMG-2004_99999999_000284,statute,§ 72,Gesetz über den rechtlichen Schutz von Design
BJNR001950896_BGB_20191231_001524,statute,§ 556c,Bürgerliches Gesetzbuch
BJNR001950896_BGB_20191231_004840,statute,§ 1813,Bürgerliches Gesetzbuch
BJNR001950896_BGB_20191231_000907,statute,§ 360,Bürgerliches Gesetzbuch
BJNR001950896_BGB_20191231_001762,statute,§ 577a,Bürgerliches Gesetzbuch
BJNR001950896_BGB_20191231_001682,statute,§ 570,Bürgerliches Gesetzbuch
BJNR001950896_BGB_20191231_002901,statute,§ 899a,Bürgerliches Gesetzbuch
