key,document_type,heading,law_name
BJNR006290950_StPO_19981231_000002,statute,Übersicht,Strafprozeßordnung
BJNR006290950_StPO_19981231_001153,statute,§ 304,Strafprozeßordnung
BJNR006290950_StPO_19981231_001484,statute,§ 406c,Strafprozeßordnung
BJNR006290950_StPO_19981231_000599,statute,§ 133,Strafprozeßordnung
BJNR006290950_StPO_19981231_000875,statute,§ 213,Strafprozeßordnung
BJNR006290950_StPO_19981231_000005,statute,§ 1,Strafprozeßordnung
BJNR006290950_StPO_19981231_000203,statute,§ 71,Strafprozeßordnung
BJNR006290950_StPO_19981231_001510,statute,§ 407,Strafprozeßordnung
BJNR006290950_StPO_19981231_000838,statute,§ 177,Strafprozeßordnung
BJNR006290950_StPO_19981231_000107,statute,§ 42,Strafprozeßordnung
BJNR006290950_StPO_19981231_001568,statute,§ 430,Strafprozeßordnung
BJNR006290950_StPO_19981231_000461,statute,§ 111p,Strafprozeßordnung
BJNR006290950_StPO_19981231_000688,statute,§ 151,Strafprozeßordnung
BJNR006290950_StPO_19981231_000610,statute,§ 136a,Strafprozeßordnung
BJNR006290950_StPO_19981231_000922,statute,§ 226,Strafprozeßordnung
BJNR006290950_StPO_19981231_000044,statute,§ 21,Strafprozeßordnung
BJNR006290950_StPO_19981231_001430,statute,§ 394,Strafprozeßordnung
BJNR006290950_StPO_19981231_001636,statute,§ 449,Strafprozeßordnung
BJNR006290950_StPO_19981231_000105,statute,§ 41,Strafprozeßordnung
BJNR059500997_SGB-3_19981231_000836,statute,§ 276,"Sozialgesetzbuch (SGB) Drittes Buch (III) - Arbeitsförderung - (Artikel 1 des Gesetzes vom 24. März 1997, BGBl. I S. 594)"
BJNR006290950_StPO_19981231_000584,statute,§ 131,Strafprozeßordnung
BJNR006290950_StPO_19981231_001187,statute,§ 312,Strafprozeßordnung
BJNR006290950_StPO_19981231_001464,statute,§ 403,Strafprozeßordnung
BJNR006290950_StPO_19981231_001764,statute,§ 463d,Strafprozeßordnung
BJNR006290950_StPO_19981231_000017,statute,§ 7,Strafprozeßordnung
BJNR006290950_StPO_19981231_000205,statute,§ 72,Strafprozeßordnung
BJNR006290950_StPO_19981231_000046,statute,§ 22,Strafprozeßordnung
BJNR006290950_StPO_19981231_001151,statute,§ 303,Strafprozeßordnung
BJNR006290950_StPO_19981231_001841,statute,§ 477,Strafprozeßordnung
BJNR006290950_StPO_19981231_001630,statute,§ 444,Strafprozeßordnung
BJNR006290950_StPO_19981231_001183,statute,§ 311a,Strafprozeßordnung
BJNR006290950_StPO_19981231_001625,statute,§ 443,Strafprozeßordnung
BJNR006290950_StPO_19981231_000015,statute,§ 6a,Strafprozeßordnung
BJNR006290950_StPO_19981231_001099,statute,§ 275,Strafprozeßordnung
BJNR006290950_StPO_19981231_000595,statute,§ 132a,Strafprozeßordnung
BJNR006290950_StPO_19981231_000741,statute,§ 158,Strafprozeßordnung
BJNR006290950_StPO_19981231_000119,statute,§ 47,Strafprozeßordnung
BJNR059500997_SGB-3_19981231_000908,statute,§ 295,"Sozialgesetzbuch (SGB) Drittes Buch (III) - Arbeitsförderung - (Artikel 1 des Gesetzes vom 24. März 1997, BGBl. I S. 594)"
BJNR006290950_StPO_19981231_001432,statute,§ 395,Strafprozeßordnung
BJNR006290950_StPO_19981231_001823,statute,§ 474,Strafprozeßordnung
BJNR006290950_StPO_19981231_000284,statute,§ 93,Strafprozeßordnung
BJNR006290950_StPO_19981231_000123,statute,§ 48,Strafprozeßordnung
BJNR006290950_StPO_19981231_000468,statute,§ 112,Strafprozeßordnung
BJNR006290950_StPO_19981231_001534,statute,§ 412,Strafprozeßordnung
BJNR006290950_StPO_19981231_001536,statute,§ 413,Strafprozeßordnung
BJNR006290950_StPO_19981231_000286,statute,§ 94,Strafprozeßordnung
BJNR006290950_StPO_19981231_001136,statute,§ 296,Strafprozeßordnung
BJNR006290950_StPO_19981231_001462,statute,§ 402,Strafprozeßordnung
BJNR006290950_StPO_19981231_001238,statute,§ 332,Strafprozeßordnung
BJNR006290950_StPO_19981231_000739,statute,§ 157,Strafprozeßordnung
