key,document_type,heading,law_name
BJNR008810961_KredWG_20191231_000004,statute,§ 1,Gesetz über das Kreditwesen
BJNR002030992_RechKredV_99999999_000126,regulation,Formblatt 2,Verordnung über die Rechnungslegung der Kreditinstitute und Finanzdienstleistungsinstitute
BJNR282610005_ProMechG_20210930_000006,statute,§ 2,Gesetz über projektbezogene Mechanismen nach dem Protokoll von Kyoto zum Rahmenübereinkommen der Vereinten Nationen über Klimaänderungen vom 11. Dezember 1997
BJNR002190897_HGB_20191231_000809,statute,§ 290,Handelsgesetzbuch
BJNR286600994_InsO_99999999_001091,statute,§ 340,Insolvenzordnung
BJNR008810961_KredWG_20191231_000942,statute,§ 61,Gesetz über das Kreditwesen
BJNR311700006_LiqV_99999999_000010,regulation,§ 3,Verordnung über die Liquidität der Institute
BJNR002450869_GewO_20191231_000509,statute,§ 157,Gewerbeordnung
BJNR010890965_AktG_20191231_000500,statute,§ 124,Aktiengesetz
BJNR131010002_FinDAG_20191231_000128,statute,§ 16e,Gesetz über die Bundesanstalt für Finanzdienstleistungsaufsicht
BJNR002450869_GewO_20191231_000219,statute,§ 34h,Gewerbeordnung
BJNR198600008_FMStBG_20200327_000057,statute,§ 16,"Gesetz zur Beschleunigung und Vereinfachung des Erwerbs von Anteilen an sowie Risikopositionen von Unternehmen des Finanzsektors durch den Fonds ""Finanzmarktstabilisierungsfonds - FMS"""
BJNR420910013_FinaV_99999999_000013,regulation,§ 4,Verordnung zur Einreichung von Finanz- und Risikotragfähigkeitsinformationen nach dem Kreditwesengesetz
BJNR020970972_BauSparkG_99999999_000002,statute,§ 1,Gesetz über Bausparkassen
BJNR189100999_KredAnstWiAWPHEV_99999999_000018,regulation,§ 2b,Verordnung über die Beiträge zu der Entschädigungseinrichtung der Wertpapierhandelsunternehmen bei der Kreditanstalt für Wiederaufbau
BJNR174910994_WpHG_20191231_000149,statute,§ 22,Gesetz über den Wertpapierhandel
BJNR008810961_KredWG_20191231_000991,statute,§ 64o,Gesetz über das Kreditwesen
BJNR184210998_EAEG_20191231_000008,statute,§ 3,Anlegerentschädigungsgesetz
BJNR341500997_ErgAnzV_99999999_000005,regulation,§ 3,Verordnung über die Ergänzungsanzeige von Finanzdienstleistungsinstituten und Wertpapierhandelsbanken nach dem Gesetz über das Kreditwesen
BJNR000550889_GenG_99999999_000518,statute,§ 151a,Gesetz betreffend die Erwerbs- und Wirtschaftsgenossenschaften
BJNR427000013_InstitutsVergV-2014_99999999_000037,regulation,§ 6,Verordnung über die aufsichtsrechtlichen Anforderungen an Vergütungssysteme von Instituten
BJNR364800009_ZahlPrüfbV_99999999_000021,regulation,§ 8,Verordnung über die Prüfung der Jahresabschlüsse der Zahlungsinstitute und E-Geld-Institute sowie die darüber zu erstellenden Berichte
BJNR002030992_RechKredV_99999999_000127,regulation,Formblatt 3,Verordnung über die Rechnungslegung der Kreditinstitute und Finanzdienstleistungsinstitute
BJNR001520956_GewStDV-1955_20241231_000023,regulation,§ 19,Gewerbesteuer-Durchführungsverordnung
BJNR056210009_InhKontrollV_99999999_000064,regulation,§ 18,Verordnung über die Anzeigen nach § 2c des Kreditwesengesetzes und § 104 des Versicherungsaufsichtsgesetzes
BJNR008810961_KredWG_20191231_001024,statute,§ 64v,Gesetz über das Kreditwesen
BJNR359100009_ZAGMonAwV_99999999_000011,regulation,§ 5,Verordnung zur Einreichung von Monatsausweisen nach dem Zahlungsdiensteaufsichtsgesetz
BJNR341500997_ErgAnzV_99999999_000006,regulation,§ 4,Verordnung über die Ergänzungsanzeige von Finanzdienstleistungsinstituten und Wertpapierhandelsbanken nach dem Gesetz über das Kreditwesen
BJNR184210998_EAEG_20191231_000002,statute,§ 1,Anlegerentschädigungsgesetz
BJNR008810961_KredWG_20191231_000537,statute,§ 25n,Gesetz über das Kreditwesen
