key,document_type,heading,law_name
BJNR009070957_BRAGebO_19981231_000002,statute,Übersicht,Bundesgebührenordnung für Rechtsanwälte
BJNR009070957_BRAGebO_19981231_000155,statute,§ 47,Bundesgebührenordnung für Rechtsanwälte
BJNR009070957_BRAGebO_19981231_000130,statute,§ 39,Bundesgebührenordnung für Rechtsanwälte
BJNR009070957_BRAGebO_19981231_000098,statute,§ 28,Bundesgebührenordnung für Rechtsanwälte
BJNR009070957_BRAGebO_19981231_000181,statute,§ 58,Bundesgebührenordnung für Rechtsanwälte
BJNR009070957_BRAGebO_19981231_000296,statute,§ 96,Bundesgebührenordnung für Rechtsanwälte
BJNR009070957_BRAGebO_19981231_000073,statute,§ 21,Bundesgebührenordnung für Rechtsanwälte
BJNR009070957_BRAGebO_19981231_000438,statute,§ 131,Bundesgebührenordnung für Rechtsanwälte
BJNR009070957_BRAGebO_19981231_000027,statute,§ 9,Bundesgebührenordnung für Rechtsanwälte
BJNR009070957_BRAGebO_19981231_000126,statute,§ 37,Bundesgebührenordnung für Rechtsanwälte
BJNR009070957_BRAGebO_19981231_000281,statute,§ 90,Bundesgebührenordnung für Rechtsanwälte
BJNR009070957_BRAGebO_19981231_000322,statute,§ 100,Bundesgebührenordnung für Rechtsanwälte
BJNR009070957_BRAGebO_19981231_000397,statute,§ 117,Bundesgebührenordnung für Rechtsanwälte
BJNR009070957_BRAGebO_19981231_000167,statute,§ 52,Bundesgebührenordnung für Rechtsanwälte
BJNR009070957_BRAGebO_19981231_000269,statute,§ 86,Bundesgebührenordnung für Rechtsanwälte
BJNR009070957_BRAGebO_19981231_000094,statute,§ 26,Bundesgebührenordnung für Rechtsanwälte
BJNR009070957_BRAGebO_19981231_000326,statute,§ 101,Bundesgebührenordnung für Rechtsanwälte
BJNR009070957_BRAGebO_19981231_000333,statute,§ 103,Bundesgebührenordnung für Rechtsanwälte
BJNR009070957_BRAGebO_19981231_000228,statute,§ 69,Bundesgebührenordnung für Rechtsanwälte
