key,document_type,heading,law_name
BJNR009600957_KostO_19981231_000002,statute,Übersicht,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000280,statute,§ 79,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000438,statute,§ 129,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000256,statute,§ 72,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000458,statute,§ 136,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000082,statute,§ 25,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000252,statute,§ 71,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000290,statute,§ 83,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000070,statute,§ 22,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000237,statute,§ 66,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000491,statute,§ 147,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000143,statute,§ 44,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000112,statute,§ 32,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000354,statute,§ 105,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000359,statute,§ 106a,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000063,statute,§ 20,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000329,statute,§ 97,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000193,statute,§ 55a,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000264,statute,§ 74,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000014,statute,§ 6,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000066,statute,§ 21,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000415,statute,§ 124,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000482,statute,§ 145,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000288,statute,§ 81,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000370,statute,§ 108,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000044,statute,§ 15,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000319,statute,§ 93,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000016,statute,§ 7,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000122,statute,§ 38,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000342,statute,§ 100,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000011,statute,§ 5,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000541,statute,§ 161,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000289,statute,§ 82,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000249,statute,§ 70,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000114,statute,§ 34,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000194,statute,§ 56,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000371,statute,§ 109,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000429,statute,§ 128,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000466,statute,§ 139,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000023,statute,§ 10,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000521,statute,§ 154,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000110,statute,§ 31a,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000141,statute,§ 42,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000456,statute,§ 135,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000157,statute,§ 48,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000274,statute,§ 78,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000320,statute,§ 94,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000502,statute,§ 149,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000166,statute,§ 50,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000018,statute,§ 8,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000028,statute,§ 11,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000175,statute,§ 52,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000302,statute,§ 88,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000071,statute,§ 23,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000377,statute,§ 111,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000451,statute,§ 131a,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000508,statute,§ 150,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000101,statute,§ 29,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000311,statute,§ 90,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000121,statute,§ 37,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000433,statute,§ 128a,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000536,statute,§ 158,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000486,statute,§ 146,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000245,statute,§ 69,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000407,statute,§ 120,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000409,statute,§ 122,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000525,statute,§ 155,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000006,statute,§ 1,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000324,statute,§ 95,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000335,statute,§ 98,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000513,statute,§ 152,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000186,statute,§ 54,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000201,statute,§ 59,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000216,statute,§ 62,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000355,statute,§ 106,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000396,statute,§ 118,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000306,statute,§ 89,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000473,statute,§ 142,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000362,statute,§ 107,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000271,statute,§ 77,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000075,statute,§ 24,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000481,statute,§ 144a,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000301,statute,§ 87,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000313,statute,§ 91,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000539,statute,§ 159,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000455,statute,§ 134,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000436,statute,§ 128b,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000421,statute,§ 126,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000142,statute,§ 43,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000094,statute,§ 26a,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000010,statute,§ 4,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000499,statute,§ 148a,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000328,statute,§ 96,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000345,statute,§ 102,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000147,statute,§ 45,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
BJNR009600957_KostO_19981231_000374,statute,§ 110,Gesetz über die Kosten in Angelegenheiten der freiwilligen Gerichtsbarkeit
