key,document_type,heading,law_name
BJNR010050934_EStG_19981231_000688,statute,§ 52,Einkommensteuergesetz
BJNR024880986_UBGG_19981231_000079,statute,§ 25,Gesetz über Unternehmensbeteiligungsgesellschaften
BJNR024880986_UBGG_19981231_000004,statute,§ 1a,Gesetz über Unternehmensbeteiligungsgesellschaften
BJNR005230956_WoBauG-2_19981231_000019,statute,§ 6,Zweites Wohnungsbaugesetz
BJNR010050934_EStG_19981231_000770,statute,§ 56,Einkommensteuergesetz
BJNR010050934_EStG_19981231_000238,statute,§ 13a,Einkommensteuergesetz
BJNR010050934_EStG_19981231_000081,statute,§ 6c,Einkommensteuergesetz
BJNR178310995_EigZulG_19981231_000003,statute,§ 2,Eigenheimzulagengesetz
BJNR007560955_EStDV-1955_19981231_000135,regulation,§ 82f,Einkommensteuer-Durchführungsverordnung
BJNR010050934_EStG_19981231_000783,statute,§ 62,Einkommensteuergesetz
BJNR005230956_WoBauG-2_19981231_000293,statute,§ 88,Zweites Wohnungsbaugesetz
BJNR010050934_EStG_19981231_000136,statute,§ 7g,Einkommensteuergesetz
BJNR010050934_EStG_19981231_000232,statute,§ 13,Einkommensteuergesetz
BJNR010050934_EStG_19981231_000796,statute,§ 66,Einkommensteuergesetz
BJNR010050934_EStG_19981231_000214,statute,§ 10h,Einkommensteuergesetz
BJNR007560955_EStDV-1955_19981231_000142,regulation,§ 82g,Einkommensteuer-Durchführungsverordnung
BJNR010050934_EStG_19981231_000655,statute,§ 50c,Einkommensteuergesetz
BJNR010050934_EStG_19981231_000097,statute,§ 7a,Einkommensteuergesetz
BJNR010050934_EStG_19981231_000203,statute,§ 10f,Einkommensteuergesetz
BJNR010050934_EStG_19981231_000611,statute,§ 45a,Einkommensteuergesetz
BJNR010050934_EStG_19981231_000288,statute,§ 19a,Einkommensteuergesetz
BJNR010050934_EStG_19981231_000061,statute,§ 6,Einkommensteuergesetz
BJNR025990976_KStG-1977_19981231_000129,statute,§ 28,Körperschaftsteuergesetz
BJNR122610989_SGB-6_19981231_000680,statute,§ 187a,"Sozialgesetzbuch (SGB) Sechstes Buch (VI) - Gesetzliche Rentenversicherung - (Artikel 1 des Gesetzes v. 18. Dezember 1989, BGBl. I S. 2261, 1990 I S. 1337)"
BJNR000410950_BerlinFG_20001231_000092,statute,§ 15,Gesetz zur Förderung der Berliner Wirtschaft
BJNR010050934_EStG_19981231_000603,statute,§ 44d,Einkommensteuergesetz
BJNR007560955_EStDV-1955_19981231_000143,regulation,§ 82i,Einkommensteuer-Durchführungsverordnung
BJNR010050934_EStG_19981231_000021,statute,§ 2a,Einkommensteuergesetz
BJNR010050934_EStG_19981231_000364,statute,§ 32b,Einkommensteuergesetz
BJNR007560955_EStDV-1955_19981231_000057,regulation,§ 51,Einkommensteuer-Durchführungsverordnung
BJNR010050934_EStG_19981231_000050,statute,§ 4d,Einkommensteuergesetz
BJNR010050934_EStG_19981231_000065,statute,§ 6a,Einkommensteuergesetz
BJNR010050934_EStG_19981231_000586,statute,§ 44a,Einkommensteuergesetz
BJNR010050934_EStG_19981231_000402,statute,§ 34b,Einkommensteuergesetz
BJNR010050934_EStG_19981231_000384,statute,§ 33b,Einkommensteuergesetz
BJNR010050934_EStG_19981231_000488,statute,§ 39,Einkommensteuergesetz
BJNR010050934_EStG_19981231_000307,statute,§ 21,Einkommensteuergesetz
BJNR010050934_EStG_19981231_000468,statute,§ 37a,Einkommensteuergesetz
BJNR010050934_EStG_19981231_000321,statute,§ 23,Einkommensteuergesetz
BJNR000410950_BerlinFG_20001231_000087,statute,§ 14c,Gesetz zur Förderung der Berliner Wirtschaft
BJNR000410950_BerlinFG_20001231_000099,statute,§ 15b,Gesetz zur Förderung der Berliner Wirtschaft
BJNR010050934_EStG_19981231_000173,statute,§ 10,Einkommensteuergesetz
BJNR010050934_EStG_19981231_000456,statute,§ 36d,Einkommensteuergesetz
BJNR010050934_EStG_19981231_000485,statute,§ 38c,Einkommensteuergesetz
BJNR109330974_ErbStG-1974_19981231_000086,statute,§ 19a,Erbschaftsteuer- und Schenkungsteuergesetz
BJNR012320965_SchBauG_99999999_000008,statute,§ 12,Gesetz über bauliche Maßnahmen zum Schutz der Zivilbevölkerung
BJNR007560955_EStDV-1955_19981231_000063,regulation,§ 52,Einkommensteuer-Durchführungsverordnung
BJNR010050934_EStG_19981231_000248,statute,§ 14a,Einkommensteuergesetz
BJNR013310991_FöGbG_19991231_000002,statute,§ 1,Gesetz über Sonderabschreibungen und Abzugsbeträge im Fördergebiet
