key,document_type,heading,law_name
BJNR011120969_BBiG_20010101_000089,statute,§ 25,Berufsbildungsgesetz
BJNR023050985_HolzMAusbV_20060731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Holzmechaniker/zur Holzmechanikerin
BJNR090900998_SchuhfAusbV-1998_20110731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Schuhfertiger/zur Schuhfertigerin
BJNR021460986_BioLabAusbV_20000731_000002,regulation,,Verordnung über die Berufsausbildung zum Biologielaboranten/zur Biologielaborantin
BJNR004250991_BKfAusbV_20140731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Bürokaufmann/zur Bürokauffrau
BJNR006730984_TierpflAusbV_19990731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Tierpfleger/zur Tierpflegerin
BJNR004130983_BäAusbV_20001231_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Bäcker/zur Bäckerin
BJNR012900997_ModellBMechAusbV_20090731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Modellbaumechaniker/zur Modellbaumechanikerin
BJNR011120969_BBiG_20010101_000093,statute,§ 26,Berufsbildungsgesetz
BJNR067200996_StFachAngAusbV_99999999_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Steuerfachangestellten/zur Steuerfachangestellten
BJNR000400989_KerMEinAusbV_20050731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Kerammodelleinrichter/zur Kerammodelleinrichterin
BJNR001620978_IndKfmAusbV-1978_20020731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Industriekaufmann
BJNR317700997_FotoMedLabAusbV_20130731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Fotomedienlaboranten/zur Fotomedienlaborantin
BJNR161200998_GlasblAusbV_20010406_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Glasbläser/zur Glasbläserin
BJNR025020989_BergmechAusbV-1989_20090731_000003,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Bergmechaniker
BJNR005130991_MolkFAusbV_20060424_000003,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Molkereifachmann/zur Molkereifachfrau
BJNR015660984_OrgAusbV_20190731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Orgel- und Harmoniumbauer/zur Orgel- und Harmoniumbauerin
BJNR007170980_TapAusbV_20030731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Tapisseristen/zur Tapisseristin
BJNR035100998_GastgewAusbV-1998_99999999_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung im Gastgewerbe
BJNR019800996_TextilveredlAusbV_20050731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung in der Textilveredlungsindustrie
BJNR008370991_LWAusbEntwV_19990611_000004,regulation,§ 2,Verordnung über die Entwicklung und Erprobung des Ausbildungsberufes Fachkraft für Lagerwirtschaft
BJNR006940988_MilchLAusbV_20130731_000002,regulation,,Verordnung über die Berufsausbildung zum Milchwirtschaftlichen Laboranten/zur Milchwirtschaftlichen Laborantin
BJNR005740978_TStopfAusbV_20070731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Textilstopfer
BJNR009500998_TextilProdAusbV_20030731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Produktgestalter-Textil/zur Produktgestalterin-Textil
BJNR007820984_LMTAusbV-1984_20000731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zur Fachkraft für Lebensmitteltechnik
BJNR014110953_HwO_19981231_000148,statute,§ 34,Gesetz zur Ordnung des Handwerks
BJNR028840990_GerüstbAusbV_20000731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Gerüstbauer/zur Gerüstbauerin
BJNR074000997_BäderFAngAusbV_99999999_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum/zur Fachangestellten für Bäderbetriebe
BJNR103000998_AVMedKfAusbV_99999999_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Kaufmann für audiovisuelle Medien/zur Kauffrau für audiovisuelle Medien
BJNR000270991_PapMaAusbV_20050731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Papiermacher/zur Papiermacherin
BJNR040800998_MechaAusbV_20110731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Mechatroniker/zur Mechatronikerin
BJNR010730974_BauWiAusbV_19990731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung in der Bauwirtschaft
BJNR047700998_MikrotAusbV_99999999_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Mikrotechnologen/zur Mikrotechnologin
BJNR010900997_HolzbInstrmMAusbV_99999999_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Holzblasinstrumentenmacher/zur Holzblasinstrumentenmacherin
BJNR002970985_IndglasfAusbV_20000731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Industrieglasfertiger/zur Industrieglasfertigerin
BJNR016700982_MüAusbV_20060731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Müller/zur Müllerin
BJNR010610978_BGJAnrV-1978_20060731_000004,regulation,§ 2,Verordnung über die Anrechnung auf die Ausbildungszeit in Ausbildungsberufen der gewerblichen Wirtschaft - Anrechnung des Besuchs eines schulischen Berufsgrundbildungsjahres und einer einjährigen Berufsfachschule
BJNR046200998_BuchhdlAusbV-1998_20110731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Buchhändler/zur Buchhändlerin
BJNR011970992_DrogistAusbV_20010724_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Drogist/zur Drogistin
BJNR007560992_GoldSchmAusbV_99999999_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Goldschmied/zur Goldschmiedin
BJNR002740987_IndMetAusbV_20030731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung in den industriellen Metallberufen
BJNR025020989_BergmechAusbV-1989_20090731_000002,regulation,,Verordnung über die Berufsausbildung zum Bergmechaniker
BJNR008340986_ThermMAusbV_99999999_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Thermometermacher/zur Thermometermacherin
BJNR011360975_BauStoffPrAusbV_20050731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Baustoffprüfer
BJNR019110980_SüßwTFKrAusbV_20001231_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zur Fachkraft für Süßwarentechnik
BJNR000380991_FlGlasMAusbV_20180731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Flachglasmechaniker/zur Flachglasmechanikerin
BJNR008370979_BergMAusbV_20130802_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Berg- und Maschinenmann und zur Berg- und Maschinenfrau
BJNR053600997_KartAusbV-1997_20100731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Kartographen/zur Kartographin
BJNR001090981_DestAusbV_99999999_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Destillateur/zur Destillateurin
BJNR025400997_STHerstAusbV-1997_20050731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Schmucktextilienhersteller/zur Schmucktextilienherstellerin
BJNR094600997_BauwAbdAusbV_99999999_000002,regulation,,Verordnung über die Berufsausbildung zum Bauwerksabdichter/zur Bauwerksabdichterin
BJNR163300997_KStoffVerfMAusbV_20060731_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Verfahrensmechaniker/zur Verfahrensmechanikerin für Kunststoff- und Kautschuktechnik
BJNR005070992_BKFAngAusbV_19991031_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Fachangestellten für Bürokommunikation/zur Fachangestellten für Bürokommunikation
