key,document_type,heading,law_name
BJNR012150937_StVZO_19981231_000798,regulation,§ 72,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000765,regulation,§ 67,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000496,regulation,§ 45,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000418,regulation,§ 35i,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000638,regulation,§ 53d,Straßenverkehrs-Zulassungs-Ordnung
BJNR039400993_StVRAusnV_19981231_000003,regulation,§ 1,Verordnung über Ausnahmen von straßenverkehrsrechtlichen Vorschriften
BJNR012150937_StVZO_19981231_000531,regulation,§ 47d,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000342,regulation,§ 32c,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000553,regulation,§ 50,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000338,regulation,§ 32b,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000715,regulation,§ 59,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000665,regulation,§ 56,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000314,regulation,§ 30b,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000577,regulation,§ 51b,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000216,regulation,§ 22,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000441,regulation,§ 38a,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000492,regulation,§ 44,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000664,regulation,§ 55a,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000476,regulation,§ 41b,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000058,regulation,§ 9b,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000569,regulation,§ 51a,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000421,regulation,§ 36,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000602,regulation,§ 52a,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000532,regulation,§ 48,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000524,regulation,§ 47b,Straßenverkehrs-Zulassungs-Ordnung
BJNR012150937_StVZO_19981231_000430,regulation,§ 36a,Straßenverkehrs-Zulassungs-Ordnung
