key,document_type,heading,law_name
BJNR014110953_HwO_20191231_000117,statute,§ 25,Gesetz zur Ordnung des Handwerks
BJNR129800015_OrthopschuhmAusbV_99999999_000004,regulation,§ 1,Verordnung über die Berufsausbildung zum Orthopädieschuhmacher und zur Orthopädieschuhmacherin
BJNR061000007_HolzBauSchAusbV_99999999_000002,regulation,,Verordnung über die Berufsausbildung im Holz- und Bautenschutzgewerbe
BJNR089200019_GebReinAusbVO_99999999_000004,regulation,§ 1,Verordnung über die Berufsausbildung zum Gebäudereiniger und zur Gebäudereinigerin
BJNR116800015_WStHAusbV_99999999_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Werksteinhersteller und zur Werksteinherstellerin
BJNR155900017_BüPinAusbV_99999999_000004,regulation,§ 1,Verordnung über die Berufsausbildung zum Bürsten- und Pinselmacher und zur Bürsten- und Pinselmacherin
BJNR071400014_FzMechAusbV_99999999_000003,regulation,§ 1,Verordnung über die Berufsausbildung zum Karosserie- und Fahrzeugbaumechaniker und zur Karosserie- und Fahrzeugbaumechanikerin
BJNR096600011_BuchbAusbV-2011_99999999_000003,regulation,§ 1,Verordnung über die Berufsausbildung zum Buchbinder und zur Buchbinderin
BJNR101200016_HörAkAusbV_99999999_000004,regulation,§ 1,Verordnung über die Berufsausbildung zum Hörakustiker und zur Hörakustikerin
BJNR062200018_MaßschuhmAusbV_99999999_000002,regulation,Eingangsformel,Verordnung über die Berufsausbildung zum Maßschuhmacher und zur Maßschuhmacherin
BJNR117800011_TextilGestAusbV_99999999_000003,regulation,§ 1,Verordnung über die Berufsausbildung zum Textilgestalter und zur Textilgestalterin im Handwerk
BJNR161400013_KlempnerAusbV-2013_99999999_000003,regulation,§ 1,Verordnung über die Berufsausbildung zum Klempner und zur Klempnerin
BJNR129800016_GrAusbV_99999999_000004,regulation,§ 1,Verordnung über die Berufsausbildung zum Graveur und zur Graveurin
BJNR161200998_GlasblAusbV_99999999_000003,regulation,§ 1,Verordnung über die Berufsausbildung zum Glasbläser/zur Glasbläserin
