key,document_type,heading,law_name
BJNR033419976_AOEG-1977_20191231_000007,statute,Art 97 Übergangsvorschriften,Einführungsgesetz zur Abgabenordnung
BJNR006130976_AO-1977_20191231_001389,statute,§ 329,Abgabenordnung
BJNR006130976_AO-1977_20191231_000640,statute,§ 138a,Abgabenordnung
BJNR006130976_AO-1977_20191231_000223,statute,§ 51,Abgabenordnung
BJNR033419976_AOEG-1977_20191231_000208,statute,Art 102 Inkrafttreten,Einführungsgesetz zur Abgabenordnung
BJNR218300010_KonsVerNLDV_99999999_000002,regulation,Eingangsformel,Verordnung zur Umsetzung von Konsultationsvereinbarungen zwischen der Bundesrepublik Deutschland und dem Königreich der Niederlande
BJNR006130976_AO-1977_20191231_000508,statute,§ 109,Abgabenordnung
BJNR006130976_AO-1977_20191231_001186,statute,§ 269,Abgabenordnung
BJNR026610001_LPartG_99999999_000064,statute,§ 20a,Gesetz über die Eingetragene Lebenspartnerschaft
BJNR002430951_BVerfGG_99999999_000116,statute,§ 31,Gesetz über das Bundesverfassungsgericht
BJNR006130976_AO-1977_20191231_000283,statute,§ 67a,Abgabenordnung
BJNR006130976_AO-1977_20191231_000879,statute,§ 175a,Abgabenordnung
BJNR006130976_AO-1977_20191231_000934,statute,§ 184,Abgabenordnung
BJNR213600010_KonsVerUSAV_99999999_000002,regulation,Eingangsformel,Verordnung zur Umsetzung von Konsultationsvereinbarungen zwischen der Bundesrepublik Deutschland und den Vereinigten Staaten von Amerika
BJNR006130976_AO-1977_20191231_000195,statute,§ 42,Abgabenordnung
BJNR006130976_AO-1977_20191231_000862,statute,§ 172,Abgabenordnung
BJNR006130976_AO-1977_20191231_000295,statute,§ 72a,Abgabenordnung
BJNR006130976_AO-1977_20191231_001082,statute,§ 232,Abgabenordnung
BJNR006130976_AO-1977_20191231_000822,statute,§ 165,Abgabenordnung
BJNR006130976_AO-1977_20191231_001569,statute,§ 381,Abgabenordnung
BJNR291110994_AnfG-1999_99999999_000052,statute,§ 20,Gesetz über die Anfechtung von Rechtshandlungen eines Schuldners außerhalb des Insolvenzverfahrens
BJNR275010994_BPflV-1994_20191231_000049,regulation,§ 11,Verordnung zur Regelung der Krankenhauspflegesätze
BJNR006130976_AO-1977_20191231_000004,statute,§ 1,Abgabenordnung
BJNR006130976_AO-1977_20191231_000662,statute,§ 139a,Abgabenordnung
BJNR006130976_AO-1977_20191231_000287,statute,§ 68,Abgabenordnung
BJNR006130976_AO-1977_20191231_001189,statute,§ 270,Abgabenordnung
BJNR006130976_AO-1977_20191231_001572,statute,§ 382,Abgabenordnung
BJNR006130976_AO-1977_20191231_000973,statute,§ 200,Abgabenordnung
BJNR014770965_FGO_20191231_000312,statute,§ 100,Finanzgerichtsordnung
BJNR006130976_AO-1977_20191231_001076,statute,§ 230,Abgabenordnung
BJNR006130976_AO-1977_20191231_001221,statute,§ 282,Abgabenordnung
BJNR006130976_AO-1977_20191231_000307,statute,§ 76,Abgabenordnung
BJNR006130976_AO-1977_20191231_000289,statute,§ 69,Abgabenordnung
BJNR010050934_EStG_20191231_000442,statute,§ 33,Einkommensteuergesetz
BJNR213700010_KonsVerBELV_99999999_000002,regulation,Eingangsformel,Verordnung zur Umsetzung von Konsultationsvereinbarungen zwischen der Bundesrepublik Deutschland und dem Königreich Belgien
BJNR148400012_KonsVerLUXV_99999999_000002,regulation,Eingangsformel,Verordnung zur Umsetzung von Konsultationsvereinbarungen zwischen der Bundesrepublik Deutschland und dem Großherzogtum Luxemburg
BJNR006130976_AO-1977_20191231_000869,statute,§ 173a,Abgabenordnung
BJNR014770965_FGO_20191231_000115,statute,§ 47,Finanzgerichtsordnung
BJNR304600009_SteuerHBekV_99999999_000002,regulation,Eingangsformel,Steuerhinterziehungsbekämpfungsverordnung
BJNR218700010_KonsVerCHEV_99999999_000002,regulation,Eingangsformel,Verordnung zur Umsetzung von Konsultationsvereinbarungen zwischen der Bundesrepublik Deutschland und der Schweizerischen Eidgenossenschaft
