key,document_type,heading,law_name
BJNR067910012_StVZO-2012_20191231_000574,regulation,§ 69a,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000449,regulation,§ 54,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000439,regulation,§ 53c,Straßenverkehrs-Zulassungs-Ordnung
BJNR004370909_StVG_20200531_000188,statute,§ 24,Straßenverkehrsgesetz
BJNR067910012_StVZO-2012_20191231_000185,regulation,§ 35e,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000470,regulation,§ 55a,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000153,regulation,§ 34a,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000540,regulation,§ 64b,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000239,regulation,§ 40,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000201,regulation,§ 35i,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000184,regulation,§ 35d,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000086,regulation,§ 30c,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000387,regulation,§ 51c,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000159,regulation,§ 35,Straßenverkehrs-Zulassungs-Ordnung
BJNR007210974_BImSchG_99999999_000402,statute,§ 62,"Gesetz zum Schutz vor schädlichen Umwelteinwirkungen durch Luftverunreinigungen, Geräusche, Erschütterungen und ähnliche Vorgänge"
BJNR067910012_StVZO-2012_20191231_000096,regulation,§ 31,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000229,regulation,§ 38a,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000160,regulation,§ 35a,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000335,regulation,§ 49,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000442,regulation,§ 53d,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000221,regulation,§ 37,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000539,regulation,§ 64a,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000292,regulation,§ 44,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000457,regulation,§ 54a,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000224,regulation,§ 38,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000123,regulation,§ 32a,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000190,regulation,§ 35f,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000367,regulation,§ 51,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000099,regulation,§ 31a,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000588,regulation,§ 71,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000091,regulation,§ 30d,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000546,regulation,§ 66a,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000516,regulation,§ 59,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000478,regulation,§ 57,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000329,regulation,§ 47f,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000522,regulation,§ 59a,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000525,regulation,§ 61,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000191,regulation,§ 35g,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000562,regulation,§ 67a,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000234,regulation,§ 39,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000139,regulation,§ 33,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000105,regulation,§ 31d,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000217,regulation,§ 36a,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000488,regulation,§ 57b,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000553,regulation,§ 67,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000196,regulation,§ 35h,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000156,regulation,§ 34b,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000177,regulation,§ 35b,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000530,regulation,§ 62,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000266,regulation,§ 41a,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000021,regulation,§ 20,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000039,regulation,§ 21a,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000545,regulation,§ 66,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000007,regulation,§ 17,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000532,regulation,§ 63,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000493,regulation,§ 57c,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000058,regulation,§ 29,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000393,regulation,§ 52,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000235,regulation,§ 39a,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000529,regulation,§ 61a,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000130,regulation,§ 32c,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000296,regulation,§ 45,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000275,regulation,§ 41b,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000406,regulation,§ 52a,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000075,regulation,§ 30,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000302,regulation,§ 46,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000460,regulation,§ 54b,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000233,regulation,§ 38b,Straßenverkehrs-Zulassungs-Ordnung
BJNR004370909_StVG_20200531_000183,statute,§ 23,Straßenverkehrsgesetz
BJNR067910012_StVZO-2012_20191231_000541,regulation,§ 65,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000286,regulation,§ 43,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000324,regulation,§ 47c,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000380,regulation,§ 51b,Straßenverkehrs-Zulassungs-Ordnung
BJNR067910012_StVZO-2012_20191231_000372,regulation,§ 51a,Straßenverkehrs-Zulassungs-Ordnung
