key,document_type,heading,law_name
BJNR093110005_BBiG-2005_20191231_000003,statute,§ 1,Berufsbildungsgesetz
BJNR174100997_ITKTAusbV_20200731_000008,regulation,§ 3,Verordnung über die Berufsausbildung im Bereich der Informations- und Telekommunikationstechnik
BJNR069800011_AugenoptAusbV_99999999_000008,regulation,§ 4,Verordnung über die Berufsausbildung zum Augenoptiker und zur Augenoptikerin
BJNR044400014_SüßwAusbV_99999999_000013,regulation,§ 5,Verordnung über die Berufsausbildung zum Süßwarentechnologen und zur Süßwarentechnologin
BJNR069800011_AugenoptAusbV_99999999_000012,regulation,§ 5,Verordnung über die Berufsausbildung zum Augenoptiker und zur Augenoptikerin
BJNR412500013_BüroMKfAusbV_99999999_000014,regulation,§ 5,Verordnung über die Berufsausbildung zum Kaufmann für Büromanagement und zur Kauffrau für Büromanagement
BJNR040900006_GrHdlKfmAusbV-2006_20200731_000007,regulation,§ 3,Verordnung über die Berufsausbildung zum Kaufmann im Groß- und Außenhandel/zur Kauffrau im Groß- und Außenhandel
BJNR105100009_FotoAusbV-2009_99999999_000009,regulation,§ 5,Verordnung über die Berufsausbildung zum Fotografen und zur Fotografin
BJNR113410015_GMAusbV_99999999_000005,regulation,§ 3,Verordnung über die Berufsausbildung zum Gießereimechaniker und zur Gießereimechanikerin
BJNR161400013_KlempnerAusbV-2013_99999999_000010,regulation,§ 4,Verordnung über die Berufsausbildung zum Klempner und zur Klempnerin
BJNR136900013_WeinTechAusbV_99999999_000010,regulation,§ 4,Verordnung über die Berufsausbildung zum Weintechnologen und zur Weintechnologin
BJNR130800015_KhWbAusbV_99999999_000006,regulation,§ 3,Verordnung über die Berufsausbildung zum Kerzenhersteller und Wachsbildner und zur Kerzenherstellerin und Wachsbildnerin
BJNR041400018_PWMAusbV_99999999_000006,regulation,§ 3,Verordnung über die Berufsausbildung zum Präzisionswerkzeugmechaniker und zur Präzisionswerkzeugmechanikerin
BJNR093110005_BBiG-2005_20191231_000026,statute,§ 5,Berufsbildungsgesetz
BJNR129210005_ÄndSchnAusbV_99999999_000004,regulation,§ 3,Verordnung über die Berufsausbildung zum Änderungsschneider/zur Änderungsschneiderin
BJNR066800017_LuftvKflAusbV_99999999_000006,regulation,§ 3,Verordnung über die Berufsausbildung zum Luftverkehrskaufmann und zur Luftverkehrskauffrau
