key,document_type,heading,law_name
BJNR174910994_WpHG_20191231_000648,statute,§ 120,Gesetz über den Wertpapierhandel
BJNR135100007_BörsG-2007_99999999_000193,statute,§ 26c,Börsengesetz
BJNR002190897_HGB_20191231_001119,statute,§ 340,Handelsgesetzbuch
BJNR174910994_WpHG_20191231_000115,statute,§ 15,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000271,statute,§ 50,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000386,statute,§ 70,Gesetz über den Wertpapierhandel
BJNR002190897_HGB_20191231_001310,statute,§ 341w,Handelsgesetzbuch
BJNR174910994_WpHG_20191231_000363,statute,§ 65,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000627,statute,§ 116,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000431,statute,§ 77,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000325,statute,§ 60,Gesetz über den Wertpapierhandel
BJNR169810005_WpPG_20210930_000090,statute,§ 24,"Gesetz über die Erstellung, Billigung und Veröffentlichung des Prospekts, der beim öffentlichen Angebot von Wertpapieren oder bei der Zulassung von Wertpapieren zum Handel an einem organisierten Markt zu veröffentlichen ist"
BJNR174910994_WpHG_20191231_000640,statute,§ 119,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000149,statute,§ 22,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000352,statute,§ 64,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000068,statute,§ 5,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000381,statute,§ 69,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000242,statute,§ 41,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000310,statute,§ 58,Gesetz über den Wertpapierhandel
BJNR002190897_HGB_20191231_000391,statute,§ 116,Handelsgesetzbuch
BJNR174910994_WpHG_20191231_000318,statute,§ 59,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000471,statute,§ 83,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000163,statute,§ 26,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000587,statute,§ 107,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000287,statute,§ 54,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000168,statute,§ 27,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000366,statute,§ 65a,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000435,statute,§ 78,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000598,statute,§ 109,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000153,statute,§ 23,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000546,statute,§ 94,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000192,statute,§ 32,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000616,statute,§ 114,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000267,statute,§ 49,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000501,statute,§ 86,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000101,statute,§ 9,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000504,statute,§ 87,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000406,statute,§ 73,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000229,statute,§ 38,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000536,statute,§ 92,Gesetz über den Wertpapierhandel
BJNR135100007_BörsG-2007_99999999_000065,statute,§ 5,Börsengesetz
BJNR004810968_OWiG-1968_20201031_000101,statute,§ 30,Gesetz über Ordnungswidrigkeiten
BJNR198110013_KAGB_20191231_000100,statute,§ 12,Kapitalanlagegesetzbuch
BJNR174910994_WpHG_20191231_000486,statute,§ 84,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000097,statute,§ 8,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000620,statute,§ 115,Gesetz über den Wertpapierhandel
BJNR135100007_BörsG-2007_99999999_000203,statute,§ 26e,Börsengesetz
BJNR174910994_WpHG_20191231_000452,statute,§ 81,Gesetz über den Wertpapierhandel
BJNR174910994_WpHG_20191231_000410,statute,§ 74,Gesetz über den Wertpapierhandel
