key,document_type,heading,law_name
BJNR196610017_StrlSchG_20191231_000779,statute,§ 194,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000127,statute,§ 22,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000158,statute,§ 31,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000311,statute,§ 68,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000658,statute,§ 158,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000156,statute,§ 30,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000197,statute,§ 39,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000755,statute,§ 186,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000533,statute,§ 123,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000262,statute,§ 57,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000539,statute,§ 124,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000296,statute,§ 63,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000120,statute,§ 20,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000718,statute,§ 173,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000126,statute,§ 21,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000386,statute,§ 87,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000143,statute,§ 27,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000138,statute,§ 26,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000318,statute,§ 70,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000304,statute,§ 65,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000712,statute,§ 171,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000570,statute,§ 134,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000364,statute,§ 81,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000188,statute,§ 37,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000385,statute,§ 86,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000335,statute,§ 74,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000719,statute,§ 174,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000399,statute,§ 91,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000081,statute,§ 10,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000240,statute,§ 51,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000751,regulation,§ 184,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000564,statute,§ 131,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000697,statute,§ 169,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000629,statute,§ 148,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000326,statute,§ 71,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR004810968_OWiG-1968_20201031_000133,statute,§ 36,Gesetz über Ordnungswidrigkeiten
BJNR196610017_StrlSchG_20191231_000590,statute,§ 138,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000418,statute,§ 95,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000248,statute,§ 53,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000784,statute,§ 195,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000176,statute,§ 34,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000300,statute,§ 64,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000106,statute,§ 17,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000233,statute,§ 49,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000396,statute,§ 90,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000394,statute,§ 89,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000334,statute,§ 73,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000267,statute,§ 58,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000606,statute,§ 143,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000545,statute,§ 127,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000274,statute,§ 60,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000365,statute,§ 82,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000720,statute,§ 175,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000252,statute,§ 54,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000727,statute,§ 179,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000193,statute,§ 38,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000374,statute,§ 84,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000652,statute,§ 156,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR196610017_StrlSchG_20191231_000599,statute,§ 140,Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
