key,document_type,heading,law_name
BJNR198110013_KAGB_20191231_001619,statute,§ 340,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_000475,statute,§ 76,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_001035,statute,§ 209,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_000613,statute,§ 105,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_000407,statute,§ 65,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_000924,statute,§ 178,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_001309,statute,§ 282,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_001031,statute,§ 207,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_000343,statute,§ 53,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_000778,statute,§ 147,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_001475,statute,§ 312,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_000445,statute,§ 70,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_000189,statute,§ 26,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_000822,statute,§ 160,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_000805,statute,§ 153,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_000965,statute,§ 186,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_001457,statute,§ 309,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_000276,statute,§ 40,Kapitalanlagegesetzbuch
BJNR008810961_KredWG_20191231_000554,statute,§ 28,Gesetz über das Kreditwesen
BJNR198110013_KAGB_20191231_000714,statute,§ 128,Kapitalanlagegesetzbuch
BJNR008810961_KredWG_20191231_000648,statute,§ 44,Gesetz über das Kreditwesen
BJNR198110013_KAGB_20191231_000467,statute,§ 74,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_000650,statute,§ 114,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_001157,statute,§ 239,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_001022,statute,§ 205,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_001291,statute,§ 276,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_000313,statute,§ 49,Kapitalanlagegesetzbuch
BJNR198110013_KAGB_20191231_000669,statute,§ 119,Kapitalanlagegesetzbuch
