key,document_type,heading,law_name
BJNR203600018_StrlSchV-2018_20200401_000751,regulation,§ 184,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000507,regulation,§ 127,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000312,regulation,§ 82,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000276,regulation,§ 74,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000452,regulation,§ 114,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000480,regulation,§ 121,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000515,regulation,§ 129,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000567,regulation,§ 141,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000127,regulation,§ 34,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000149,regulation,§ 42,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000545,regulation,§ 137,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000412,regulation,§ 104,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000337,regulation,§ 87,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000688,regulation,§ 169,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000214,regulation,§ 58,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000581,regulation,§ 144,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000590,regulation,§ 146,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000208,regulation,§ 57,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000275,regulation,§ 73,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000572,regulation,§ 142,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000261,regulation,§ 69,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
BJNR203600018_StrlSchV-2018_20200401_000377,regulation,§ 96,Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung
