key,document_type,heading,law_name
BJNR261810005_LFGB_20210930_000269,statute,§ 60,"Lebensmittel-, Bedarfsgegenstände- und Futtermittelgesetzbuch"
BJNR181700007_LMHV-2007_99999999_000026,regulation,§ 10,"Verordnung über Anforderungen an die Hygiene beim Herstellen, Behandeln und Inverkehrbringen von Lebensmitteln"
BJNR014410997_ButtV-1997_99999999_000075,regulation,§ 17,Verordnung über Butter und andere Milchstreichfette
BJNR261810005_LFGB_20210930_000087,statute,§ 23,"Lebensmittel-, Bedarfsgegenstände- und Futtermittelgesetzbuch"
BJNR003520981_FuttMV-1981_99999999_000128,regulation,§ 40,Futtermittelverordnung
BJNR352000017_NLV-2018_99999999_000004,regulation,§ 1a,Verordnung zur Durchführung unionsrechtlicher Vorschriften über neuartige Lebensmittel
BJNR229900994_RHmV-1994_99999999_000029,regulation,§ 5,"Verordnung über Höchstmengen an Rückständen von Pflanzenschutz- und Schädlingsbekämpfungsmitteln, Düngemitteln und sonstigen Mitteln in oder auf Lebensmitteln"
BJNR213600006_LMRStV-2006_99999999_000020,regulation,§ 10,Verordnung zur Durchsetzung lebensmittelrechtlicher Rechtsakte der Europäischen Gemeinschaft
BJNR004150963_DiätV_99999999_000144,regulation,§ 26,Verordnung über diätetische Lebensmittel
BJNR261810005_LFGB_20210930_000088,statute,§ 23a,"Lebensmittel-, Bedarfsgegenstände- und Futtermittelgesetzbuch"
BJNR010360984_Min-TafelWV_99999999_000079,regulation,§ 17,"Verordnung über natürliches Mineralwasser, Quellwasser und Tafelwasser"
BJNR261810005_LFGB_20210930_000226,statute,§ 55,"Lebensmittel-, Bedarfsgegenstände- und Futtermittelgesetzbuch"
BJNR102200993_LKV_99999999_000011,regulation,§ 5,Los-Kennzeichnungs-Verordnung
BJNR213600006_LMRStV-2006_99999999_000035,regulation,§ 18,Verordnung zur Durchsetzung lebensmittelrechtlicher Rechtsakte der Europäischen Gemeinschaft
BJNR003520981_FuttMV-1981_99999999_000133,regulation,§ 40a,Futtermittelverordnung
BJNR187110007_LMEV_99999999_000078,regulation,§ 20,Verordnung über die Durchführung der veterinärrechtlichen Kontrollen bei der Einfuhr und Durchfuhr von Lebensmitteln tierischen Ursprungs aus Drittländern sowie über die Einfuhr sonstiger Lebensmittel aus Drittländern
BJNR511800965_KäseV_99999999_000101,regulation,§ 30,Käseverordnung
BJNR213600006_LMRStV-2006_99999999_000016,regulation,§ 6,Verordnung zur Durchsetzung lebensmittelrechtlicher Rechtsakte der Europäischen Gemeinschaft
BJNR261810005_LFGB_20210930_000100,statute,§ 29,"Lebensmittel-, Bedarfsgegenstände- und Futtermittelgesetzbuch"
BJNR013010974_MilchKennzV_99999999_000012,regulation,§ 4,Verordnung über die Kennzeichnung wärmebehandelter Konsummilch
BJNR003520981_FuttMV-1981_99999999_000145,regulation,§ 47,Futtermittelverordnung
BJNR261810005_LFGB_20210930_000193,statute,§ 46,"Lebensmittel-, Bedarfsgegenstände- und Futtermittelgesetzbuch"
BJNR261810005_LFGB_20210930_000078,statute,§ 20,"Lebensmittel-, Bedarfsgegenstände- und Futtermittelgesetzbuch"
BJNR028700010_KmV_99999999_000024,regulation,§ 7,Verordnung zur Begrenzung von Kontaminanten in Lebensmitteln
BJNR213600006_LMRStV-2006_99999999_000021,regulation,§ 11,Verordnung zur Durchsetzung lebensmittelrechtlicher Rechtsakte der Europäischen Gemeinschaft
BJNR213600006_LMRStV-2006_99999999_000018,regulation,§ 8,Verordnung zur Durchsetzung lebensmittelrechtlicher Rechtsakte der Europäischen Gemeinschaft
BJNR009200004_HonigV-2004_99999999_000016,regulation,§ 5,Honigverordnung
BJNR213600006_LMRStV-2006_99999999_000002,regulation,§ 1,Verordnung zur Durchsetzung lebensmittelrechtlicher Rechtsakte der Europäischen Gemeinschaft
BJNR261810005_LFGB_20210930_000276,statute,§ 62,"Lebensmittel-, Bedarfsgegenstände- und Futtermittelgesetzbuch"
BJNR007320972_EssigV_99999999_000013,regulation,§ 5,Verordnung über den Verkehr mit Essig und Essigessenz
BJNR019890990_MargMFV_99999999_000012,regulation,§ 6,Verordnung über Margarine- und Mischfetterzeugnisse
BJNR003520981_FuttMV-1981_99999999_000138,regulation,§ 43,Futtermittelverordnung
BJNR031000998_SpiritV_99999999_000050,regulation,§ 13,Verordnung über bestimmte alkoholhaltige Getränke
BJNR221500008_TätoV_99999999_000015,regulation,§ 5,Verordnung über Mittel zum Tätowieren einschließlich bestimmter vergleichbarer Stoffe und Zubereitungen aus Stoffen
BJNR273800003_KakaoV-2003_99999999_000020,regulation,§ 5,Verordnung über Kakao- und Schokoladenerzeugnisse
BJNR261810005_LFGB_20210930_000117,statute,§ 35,"Lebensmittel-, Bedarfsgegenstände- und Futtermittelgesetzbuch"
BJNR261810005_LFGB_20210930_000119,statute,§ 37,"Lebensmittel-, Bedarfsgegenstände- und Futtermittelgesetzbuch"
BJNR011500970_MilchV_99999999_000043,regulation,§ 7,Verordnung über Milcherzeugnisse
BJNR101600004_FrSaftV-2004_99999999_000038,regulation,§ 8,"Verordnung über Fruchtsaft, einige ähnliche Erzeugnisse, Fruchtnektar und koffeinhaltige Erfrischungsgetränke"
BJNR213600006_LMRStV-2006_99999999_000030,regulation,§ 16,Verordnung zur Durchsetzung lebensmittelrechtlicher Rechtsakte der Europäischen Gemeinschaft
BJNR182800007_Tier-LMHV_99999999_000088,regulation,§ 24,"Verordnung über Anforderungen an die Hygiene beim Herstellen, Behandeln und Inverkehrbringen von bestimmten Lebensmitteln tierischen Ursprungs* ** **"
BJNR215100003_KonfV-2003_99999999_000016,regulation,§ 5,Verordnung über Konfitüren und einige ähnliche Erzeugnisse
BJNR209800003_ZuckArtV-2003_99999999_000018,regulation,§ 5,Verordnung über einige zur menschlichen Ernährung bestimmte Zuckerarten
