key,document_type,heading,law_name
080_1998_000144,statute,Sec. 1101,TITLE 8-ALIENS AND NATIONALITY
180_1998_003539,statute,Sec. 1583,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
220_1998_008287,statute,Sec. 2454,TITLE 22-FOREIGN RELATIONS AND INTERCOURSE
180_1998_002914,statute,Sec. 1119,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
180_1998_003067,statute,Sec. 1203,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
180_1998_004744,statute,Sec. 2281,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
450_1998_000275,statute,Sec. 231,TITLE 45-RAILROADS
260_1998_029122,statute,Sec. 871,TITLE 26-INTERNAL REVENUE CODE
220_1998_007544,statute,Sec. 2395,TITLE 22-FOREIGN RELATIONS AND INTERCOURSE
180_1998_001500,statute,Sec. 831,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
180_1998_004426,statute,Sec. 2251A,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
180_1998_003538,statute,Sec. 1582,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
080_1998_001865,statute,Sec. 1187,TITLE 8-ALIENS AND NATIONALITY
180_1998_002891,statute,Sec. 1116,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
180_1998_004416,statute,Sec. 2251,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
080_1998_004677,statute,Sec. 1435,TITLE 8-ALIENS AND NATIONALITY
220_1998_011631,statute,Sec. 3602,TITLE 22-FOREIGN RELATIONS AND INTERCOURSE
080_1998_003615,statute,Sec. 1324,TITLE 8-ALIENS AND NATIONALITY
460_1998_000006,statute,Sec. 2101,TITLE 46-SHIPPING
080_1998_005531,statute,Sec. 1621,TITLE 8-ALIENS AND NATIONALITY
cfr20v3_1998_008449,regulation,"§ 655.900 Purpose, procedure and applicability of subparts J and K of this part.",Title 20
180_1998_003063,statute,Sec. 1202,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
cfr42v1_1998_005591,regulation,§ 57.2202 Definitions.,Title 42
cfr30v2_1998_008450,regulation,§ 281.3 Definitions.,Title 30
180_1998_005222,statute,Sec. 2423,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
080_1998_004662,statute,Sec. 1433,TITLE 8-ALIENS AND NATIONALITY
180_1998_004441,statute,Sec. 2252,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
190_1998_010826,statute,Sec. 3401,TITLE 19-CUSTOMS DUTIES
cfr42v1_1998_004465,regulation,§ 57.202 Definitions.,Title 42
cfr30v2_1998_008316,regulation,§ 280.2 Definitions.,Title 30
180_1998_001723,statute,Sec. 877,TITLE 18-CRIMES AND CRIMINAL PROCEDURE
080_1998_004694,statute,Sec. 1438,TITLE 8-ALIENS AND NATIONALITY
080_1998_002098,statute,Sec. 1202,TITLE 8-ALIENS AND NATIONALITY
