key,document_type,heading,law_name
cfr7v1_1998_004087,regulation,"§ 2.79 Administrator, Agricultural Marketing Service.",Title 7
070_1998_017156,statute,Sec. 4501,TITLE 7-AGRICULTURE
420_1998_042160,statute,Sec. 1755,TITLE 42-THE PUBLIC HEALTH AND WELFARE
070_1998_020803,statute,Sec. 6101,TITLE 7-AGRICULTURE
070_1998_023296,statute,Sec. 6814,TITLE 7-AGRICULTURE
070_1998_004233,statute,Sec. 590,TITLE 7-AGRICULTURE
070_1998_017117,statute,Sec. 4319,TITLE 7-AGRICULTURE
070_1998_008843,statute,Sec. 1623,TITLE 7-AGRICULTURE
070_1998_015087,statute,Sec. 2627,TITLE 7-AGRICULTURE
420_1998_079772,statute,Sec. 9609,TITLE 42-THE PUBLIC HEALTH AND WELFARE
070_1998_022599,statute,Sec. 6522,TITLE 7-AGRICULTURE
070_1998_022174,statute,Sec. 6417,TITLE 7-AGRICULTURE
070_1998_004313,statute,Sec. 608a,TITLE 7-AGRICULTURE
420_1998_079541,statute,Sec. 9605,TITLE 42-THE PUBLIC HEALTH AND WELFARE
070_1998_003895,statute,Sec. 471,TITLE 7-AGRICULTURE
070_1998_021365,statute,Sec. 6212,TITLE 7-AGRICULTURE
070_1998_003667,statute,Sec. 415e,TITLE 7-AGRICULTURE
070_1998_004139,statute,Sec. 511r,TITLE 7-AGRICULTURE
070_1998_025267,statute,Sec. 7411,TITLE 7-AGRICULTURE
070_1998_004085,statute,Sec. 499s,TITLE 7-AGRICULTURE
070_1998_014976,statute,Sec. 2611,TITLE 7-AGRICULTURE
070_1998_024219,statute,Sec. 7111,TITLE 7-AGRICULTURE
070_1998_020797,statute,Sec. 6013,TITLE 7-AGRICULTURE
420_1998_080058,statute,Sec. 9617,TITLE 42-THE PUBLIC HEALTH AND WELFARE
070_1998_023797,statute,Sec. 7101,TITLE 7-AGRICULTURE
070_1998_022180,statute,Sec. 6501,TITLE 7-AGRICULTURE
070_1998_003915,statute,Sec. 476,TITLE 7-AGRICULTURE
070_1998_003925,statute,Sec. 499a,TITLE 7-AGRICULTURE
150_1998_010398,statute,Sec. 713c,TITLE 15-COMMERCE AND TRADE
420_1998_079942,statute,Sec. 9613,TITLE 42-THE PUBLIC HEALTH AND WELFARE
070_1998_017233,statute,Sec. 4513,TITLE 7-AGRICULTURE
210_1998_004446,statute,Sec. 693,TITLE 21-FOOD AND DRUGS
070_1998_021367,statute,Sec. 6301,TITLE 7-AGRICULTURE
070_1998_025670,statute,Sec. 7425,TITLE 7-AGRICULTURE
070_1998_014459,statute,Sec. 2278,TITLE 7-AGRICULTURE
420_1998_070641,statute,Sec. 7401,TITLE 42-THE PUBLIC HEALTH AND WELFARE
070_1998_003923,statute,Sec. 497,TITLE 7-AGRICULTURE
070_1998_004095,statute,Sec. 508,TITLE 7-AGRICULTURE
070_1998_008858,statute,Sec. 1627,TITLE 7-AGRICULTURE
070_1998_001435,statute,Sec. 99,TITLE 7-AGRICULTURE
070_1998_000985,statute,Sec. 51,TITLE 7-AGRICULTURE
070_1998_004138,statute,Sec. 511q,TITLE 7-AGRICULTURE
070_1998_004435,statute,Sec. 608e,TITLE 7-AGRICULTURE
070_1998_015623,statute,Secs. 2912 to 2918,TITLE 7-AGRICULTURE
070_1998_026583,statute,Sec. 7491,TITLE 7-AGRICULTURE
260_1998_056993,statute,[Sec. 7263,TITLE 26-INTERNAL REVENUE CODE
070_1998_022766,statute,Sec. 6801,TITLE 7-AGRICULTURE
070_1998_021067,statute,Sec. 6201,TITLE 7-AGRICULTURE
070_1998_017119,statute,Sec. 4401,TITLE 7-AGRICULTURE
070_1998_017037,statute,Sec. 4301,TITLE 7-AGRICULTURE
070_1998_016581,statute,Sec. 3401,TITLE 7-AGRICULTURE
070_1998_026339,statute,Sec. 7481,TITLE 7-AGRICULTURE
070_1998_017679,statute,Sec. 4612,TITLE 7-AGRICULTURE
420_1998_010880,statute,Sec. 300f,TITLE 42-THE PUBLIC HEALTH AND WELFARE
070_1998_004098,statute,Sec. 511,TITLE 7-AGRICULTURE
070_1998_015240,statute,Sec. 2701,TITLE 7-AGRICULTURE
070_1998_001404,statute,Sec. 91,TITLE 7-AGRICULTURE
070_1998_021859,statute,Sec. 6311,TITLE 7-AGRICULTURE
070_1998_018104,statute,Sec. 4819,TITLE 7-AGRICULTURE
070_1998_013797,statute,Sec. 2118,TITLE 7-AGRICULTURE
210_1998_006256,statute,Sec. 1056,TITLE 21-FOOD AND DRUGS
420_1998_080041,statute,Sec. 9616,TITLE 42-THE PUBLIC HEALTH AND WELFARE
070_1998_005409,statute,Sec. 1292,TITLE 7-AGRICULTURE
070_1998_004253,statute,Sec. 602,TITLE 7-AGRICULTURE
070_1998_005400,statute,Sec. 1291,TITLE 7-AGRICULTURE
070_1998_017153,statute,Sec. 4406,TITLE 7-AGRICULTURE
070_1998_014674,statute,Sec. 2301,TITLE 7-AGRICULTURE
330_1998_003270,statute,Sec. 1251,TITLE 33-NAVIGATION AND NAVIGABLE WATERS
070_1998_004502,statute,Sec. 610,TITLE 7-AGRICULTURE
070_1998_004219,statute,Sec. 581,TITLE 7-AGRICULTURE
070_1998_026058,statute,Sec. 7452,TITLE 7-AGRICULTURE
070_1998_025676,statute,Sec. 7441,TITLE 7-AGRICULTURE
070_1998_026337,statute,Sec. 7473,TITLE 7-AGRICULTURE
070_1998_021065,statute,Sec. 6112,TITLE 7-AGRICULTURE
070_1998_016678,statute,Sec. 3417,TITLE 7-AGRICULTURE
070_1998_003662,statute,Sec. 415,TITLE 7-AGRICULTURE
070_1998_026064,statute,Sec. 7461,TITLE 7-AGRICULTURE
070_1998_020374,statute,Sec. 6001,TITLE 7-AGRICULTURE
070_1998_004088,statute,Sec. 501,TITLE 7-AGRICULTURE
070_1998_002720,statute,Sec. 138i,TITLE 7-AGRICULTURE
070_1998_015493,statute,Sec. 2901,TITLE 7-AGRICULTURE
070_1998_013700,statute,Sec. 2101,TITLE 7-AGRICULTURE
070_1998_003666,statute,Sec. 415d,TITLE 7-AGRICULTURE
070_1998_004235,statute,Sec. 591,TITLE 7-AGRICULTURE
070_1998_017328,statute,Sec. 4601,TITLE 7-AGRICULTURE
070_1998_017742,statute,Sec. 4801,TITLE 7-AGRICULTURE
420_1998_057398,statute,Sec. 4901,TITLE 42-THE PUBLIC HEALTH AND WELFARE
070_1998_021867,statute,Sec. 6401,TITLE 7-AGRICULTURE
070_1998_008811,statute,Sec. 1621,TITLE 7-AGRICULTURE
070_1998_002627,statute,Sec. 138,TITLE 7-AGRICULTURE
070_1998_004243,statute,Sec. 599,TITLE 7-AGRICULTURE
150_1998_017760,statute,Sec. 2601,TITLE 15-COMMERCE AND TRADE
070_1998_017234,statute,Sec. 4514,TITLE 7-AGRICULTURE
070_1998_003917,statute,Sec. 491,TITLE 7-AGRICULTURE
070_1998_004211,statute,"Secs. 516, 517",TITLE 7-AGRICULTURE
070_1998_008812,statute,Sec. 1622,TITLE 7-AGRICULTURE
070_1998_015387,statute,Sec. 2718,TITLE 7-AGRICULTURE
070_1998_004252,statute,Sec. 601,TITLE 7-AGRICULTURE
210_1998_006092,statute,Sec. 1031,TITLE 21-FOOD AND DRUGS
070_1998_014703,statute,Sec. 2306,TITLE 7-AGRICULTURE
