n,m_s,out_degree,in_degree,type,hub,description,key,document_type
2721,933,2,2719,Sink,Sec. 552 TITLE 5-GOVERNMENT ORGANIZATION AND EMPLOYEES,,050_2019_000234,statute
1702,26,1,1700,Sink,§ 721.125 Recordkeeping requirements. Title 40,,cfr40v33_2019_005930,regulation
1684,28,3,1680,Sink,§ 721.185 Limitation or revocation of certain notification requirements. Title 40,,cfr40v33_2019_006037,regulation
1173,298,3,1171,Sink,Sec. 552a TITLE 5-GOVERNMENT ORGANIZATION AND EMPLOYEES,,050_2019_000466,statute
1023,13,0,1022,Sink,"§ 721.80 Industrial, commercial, and consumer activities. Title 40",,cfr40v33_2019_005818,regulation
915,18,0,914,Sink,§ 721.90 Release to water. Title 40,,cfr40v33_2019_005874,regulation
793,223,2,790,Sink,§ 125.30 Purpose and scope. Title 40,,cfr40v24_2019_005302,regulation
788,222,3,784,Sink,§ 125.32 Method of application. Title 40,,cfr40v24_2019_005339,regulation
642,44,0,641,Sink,"§ 510.600 Names, addresses, and drug labeler codes of sponsors of approved applications. Title 21",,cfr21v6_2019_001331,regulation
467,14,4,462,Sink,§ 721.63 Protection in the workplace. Title 40,,cfr40v33_2019_005635,regulation
465,188,26,450,Sink,Sec. 501 TITLE 26-INTERNAL REVENUE CODE,,260_2019_030186,statute
453,3,0,452,Sink,"§ 721.1725 Benzoic acid, 3,3′-methyl­enebis [6 amino-, di-2-propenyl ester. Title 40",,cfr40v33_2019_007354,regulation
426,80,2,423,Sink,Sec. 1001 TITLE 18-CRIMES AND CRIMINAL PROCEDURE,,180_2019_003333,statute
403,8,1,401,Sink,§ 721.72 Hazard communication program. Title 40,,cfr40v33_2019_005676,regulation
362,124,2,361,Sink,§ 63.7 Performance testing requirements. Title 40,,cfr40v11_2019_000453,regulation
359,92,1,357,Sink,§ 63.10 Recordkeeping and reporting requirements. Title 40,,cfr40v11_2019_000709,regulation
339,63,0,338,Sink,Sec. 4321 TITLE 42-THE PUBLIC HEALTH AND WELFARE,,420_2019_101001,statute
338,133,2,337,Sink,§ 63.8 Monitoring requirements. Title 40,,cfr40v11_2019_000555,regulation
332,6,5,326,Sink,§ 601.601 Rules and regulations. Title 26,,cfr26v22_2019_001046,regulation
330,88,1,328,Sink,Sec. 1813 TITLE 12-BANKS AND BANKING,,120_2019_013297,statute
326,73,6,319,Sink,Sec. 5514 TITLE 5-GOVERNMENT ORGANIZATION AND EMPLOYEES,,050_2019_005304,statute
324,59,0,323,Sink,Sec. 553 TITLE 5-GOVERNMENT ORGANIZATION AND EMPLOYEES,,050_2019_000714,statute
319,92,16,305,Sink,Sec. 78c TITLE 15-COMMERCE AND TRADE,,150_2019_002772,statute
313,43,4,311,Sink,§ 403.7 Removal credits. Title 40,,cfr40v31_2019_000367,regulation
310,13,1,308,Sink,Sec. 3501 TITLE 44-PUBLIC PRINTING AND DOCUMENTS,,440_2019_001049,statute
306,62,0,305,Sink,Sec. 554 TITLE 5-GOVERNMENT ORGANIZATION AND EMPLOYEES,,050_2019_000730,statute
297,34,3,293,Sink,Sec. 794 TITLE 29-LABOR,,290_2019_004437,statute
283,74,31,254,Hinge,Sec. 1101 TITLE 8-ALIENS AND NATIONALITY,,080_2019_000144,statute
269,44,4,264,Sink,Sec. 3716 TITLE 31-MONEY AND FINANCE,,310_2019_003360,statute
262,77,4,259,Sink,§ 63.6 Compliance with standards and maintenance requirements. Title 40,,cfr40v11_2019_000305,regulation
254,131,0,253,Sink,Sec. 4151 TITLE 42-THE PUBLIC HEALTH AND WELFARE,,420_2019_100901,statute
246,129,0,245,Sink,§ 60.8 Performance tests. Title 40,,cfr40v7_2019_001635,regulation
239,39,10,229,Sink,Sec. 1105 TITLE 31-MONEY AND FINANCE,,310_2019_001165,statute
236,131,0,235,Sink,Sec. 4157 TITLE 42-THE PUBLIC HEALTH AND WELFARE,,420_2019_100916,statute
233,81,2,230,Sink,§ 63.2 Definitions. Title 40,,cfr40v11_2019_000034,regulation
