,2019-12-31_0,2005-12-31_1,2015-12-31_1,2018-12-31_1,2017-12-31_4,2015-12-31_4,2018-12-31_13,2012-12-31_9,2005-12-31_3,2007-12-31_18,2019-12-31_11,2001-12-31_4,2007-12-31_17,2018-12-31_9,2008-12-31_2,2019-12-31_36,2018-12-31_14,2016-12-31_14,1998-12-31_23,2017-12-31_21,2018-12-31_3,2019-12-31_84,2019-12-31_50,2016-12-31_9,2004-12-31_11,1998-12-31_48,2001-12-31_7,2019-12-31_64,2007-12-31_32,2019-12-31_37,2000-12-31_20,2012-12-31_19,2017-12-31_50,2019-12-31_35,2019-12-31_41,2016-12-31_62,2019-12-31_30,2003-12-31_11,2010-12-31_16,2004-12-31_26,2000-12-31_27,2019-12-31_26,2000-12-31_36,2008-12-31_1409,2007-12-31_37,2019-12-31_86,2019-12-31_65,2019-12-31_58,2018-12-31_54,2019-12-31_53
0,prüfungsbereich,krankenkassen,steuergebiet,angeklagten,irba,einkünfte,netzbetreiber,gläubiger,soldaten,anwärterinnen,fahrerlaubnis,die,erblasser,arzneimittel,lebensmittel,ausländer,abfälle,klauenseuche,honorarzone,fahrzeug,gesundheitsamt,aif,millisievert,jar,bundesagentur,betriebsrat,unterhaltshilfe,emittenten,saatgut,erfindung,auslandsbonds,kapitän,werkstatt,munition,schienenwege,bodenschätze,beschädigte,rente,welle,beg,wohnungen,getreides,kriegswaffen,schiffsattestes,prüfungsteil,gewässer,agenten,kohlendioxid,grundbuchamt,steuer
1,sozialkunde,rente,hauptzollamt,beschuldigten,ksa,einkommensteuer,rid,hypothek,soldat,anwärter,kraftfahrt,der,notar,arzneimitteln,qualitätswein,ausländers,deponie,maul,bebauungsplan,km,igv,ogaw,atomgesetzes,ops,sozialdaten,wahlvorstand,aufbaudarlehen,börse,biozid,marke,auslandsbond,seelotsen,integrationsamt,schusswaffen,zugtrassen,bergverordnung,pflegezulage,kinderzuschuß,rundfunkrat,verfolgte,kostenmiete,kontrollschein,gebietsfremden,schiffsattest,planen,meeresgewässer,zahlungsdienste,emissionswert,grundbuchblatt,grundsteuer
2,prüfling,versicherten,steuerlager,verteidiger,wahlvorschlag,lohnsteuer,adr,der,ruhestand,prüfungsamt,straßenverkehrs,kartellbehörde,vormund,arzneimittels,lebensmitteln,abschiebung,abfällen,schweinepest,städtebauliche,tafelzeichen,volksbegehren,anleger,radioaktiven,luftfahrtgerät,arbeitslose,betriebsrats,ostschäden,kunden,anbaumaterial,patentamt,aussteller,seefahrtzeit,arbeitsleben,waffengesetzes,spurweite,grundabtretung,beinamputierte,renten,holding,rente,kohlenbergbau,quote,erhebungsgebiet,ip,prüfungsbereich,gewässers,geldwäsche,produkteinheit,grundbuchblatts,erbschaftsteuer
3,prüfungsfach,krankenkasse,steuer,gefangenen,der,absetzungen,kwk,lpg,dienstbezüge,anwärtern,fahrzeug,verhandlung,gesamtgut,apotheke,prüfungsnummer,asylantrag,betreiber,sperrbezirk,landesgrenze,kleinfahrzeuge,gemeindebehörde,verwahrstelle,strahlenschutz,flüge,leistungsträger,wahlvorschlag,vollwaisen,finanzanalyse,kleinfahrzeuge,patent,anmelder,fahrtstrecken,teilhabe,waffen,eisenbahnen,aufsuchung,schädigung,bezugszeiten,haushaltsplan,rentenbeträge,wohnraum,direktzahlungen,ausfuhrliste,attestes,qualifikationen,oberirdische,geschäftsleiter,emissionen,grundbuchs,erblasser
4,fachgespräch,versicherte,tabakwaren,angeklagte,finanzholding,kapitalerträge,anschlussnehmer,die,anwärter,laufbahn,fahrzeuge,diensteanbieter,kindes,apotheken,käse,standesamt,tagesmittelwert,empfänglicher,bebauungsplans,schwimmkörper,der,feederfonds,radioaktiver,fcl,agentur,wahlvorschläge,schadensbetrag,emittent,km,anmelder,protest,stcw,werkstattrat,schußwaffen,züge,sonderbeilage,beschädigten,abrundungen,intendant,verfolgten,einzelmiete,milcherzeuger,gebietsfremde,erneuerung,note,grundwasser,indexdaten,basisperiode,grundbuch,vieheinheiten
5,planen,entgeltpunkte,finanzbehörde,tat,die,arbeitslohn,grundversorger,gebäudeeigentum,anwärterinnen,diplomarbeit,kraftfahrzeuge,rechtsanwalt,ehegatten,klinischen,weintrauben,visums,emissionen,schweine,städtebaulichen,wasserstraße,die,masterfonds,atomsicherheit,luftfahrer,arbeitslosen,stimmabgabe,grundbetrag,börsenordnung,tafelzeichen,patentgesetzes,scheck,seelotse,sozialhilfe,schusswaffe,triebfahrzeuge,bodenschätzen,bruttoeinkommen,fremdrenten,der,dm,wohnfläche,landesstelle,zollstelle,tief,fachgespräch,abwasser,haftungsfall,treibhausgas,grundakten,erwerbe
6,lehrstoff,buches,hauptzollamts,die,wahlvorschläge,der,netzentgelte,nutzer,laufbahn,rangpunkte,zugmaschinen,vergabekammer,notarkammer,verschreibung,fertigpackungen,einreise,biomasse,rinder,gemeinde,fahrzeuge,bundestage,immobilien,körperdosis,luftfahrt,der,stimmzettel,zonenschäden,privatkunden,schadorganismen,patents,reichsmark,schiff,menschen,schießstätte,eisenbahn,unternehmer,ausgleichsrente,zahlbetrag,intendanten,witwe,einzelmieten,getreide,einfuhr,deck,handlungsfeld,stoffe,transaktion,berechtigungen,registerblatt,erblassers
7,fertigkeiten,der,schaumwein,der,stimmabgabe,steuerabzug,druckgeräte,grundstück,berufssoldat,laufbahnprüfung,anhänger,marktmacht,familiengericht,ethik,traubenmost,flüchtlinge,abfallentsorger,schlachtstätte,abt,schleuse,stimmbriefe,spezial,radioaktive,sichtflugregeln,erwerbsfähigen,personalrat,zinszuschlag,bundesanstalt,bundessortenamt,markenamt,uraltguthaben,emsmündung,werkstattrats,schießen,ebo,bohrungen,grundrente,auslandsrenten,ausgaben,gewaltmaßnahmen,vermieter,käufer,einfuhrliste,steuerhaus,anwenden,gefahrenkarten,institut,aktivitätsrate,grundbücher,nutzungsteil
8,berichtsheft,pflegekassen,steuerbelange,verurteilten,stimmzettel,die,der,sache,dienstgrad,beamtinnen,fahrbahn,partei,testament,pharmazeutische,erzeugnis,azr,der,tiere,der,schiffsführer,stimmschein,publikums,ionisierender,flugplatz,die,wählerliste,endgrundbetrag,anlageberatung,pflanzgut,zeitrang,altbanken,der,behinderten,pyrotechnische,fahrzeuge,markscheider,einkommen,saar,verwaltungsrat,witwer,vergleichsmiete,grünlandprämie,butter,wl,meisterprüfung,abwasseranlagen,bundesanstalt,handelsperiode,hypothek,tierbestands
9,arbeitsprobe,die,steuerberater,patentanwalt,aktien,rücklage,die,mieter,zulage,bewerberinnen,anhängern,gegner,erbschaft,spendenden,weingesetzes,visum,die,ausbruch,landschaft,kleinfahrzeug,volksbegehrens,anlegern,dosis,luftsportgeräte,buches,einigungsstelle,rm,wertpapiere,sorte,patentgericht,altbank,seemannsamt,wahlvorstand,die,wagen,berggesetzes,versorgungsamt,leistungsgruppe,die,fortkommen,kapitalkosten,dauergrünland,anmeldeschein,decks,zusammenhänge,oberirdischen,abschlussprüfer,erzeugter,blattes,schenkung
