,y,t,v,prev_missing,y_t_max,y_t_count,y_t_diff,missing_next_year
0,1996,21,1,False,9,9,0,False
1,1996,21,2,False,9,9,0,False
2,1996,21,3,False,9,9,0,False
3,1996,21,4,False,9,9,0,False
4,1996,21,5,False,9,9,0,False
5,1996,21,6,False,9,9,0,False
6,1996,21,7,False,9,9,0,False
7,1996,21,8,False,9,9,0,False
8,1996,21,9,False,9,9,0,False
9,1996,40,1,False,7,6,-1,False
10,1996,40,2,False,7,6,-1,False
11,1996,40,3,False,7,6,-1,False
12,1996,40,5,True,7,6,-1,False
13,1996,40,6,False,7,6,-1,True
14,1996,40,7,False,7,6,-1,False
15,1996,42,1,False,3,3,0,False
16,1996,42,2,False,3,3,0,False
17,1996,42,3,False,3,3,0,False
18,1996,43,1,False,2,2,0,False
19,1996,43,2,False,2,2,0,False
20,1996,45,1,False,3,2,-1,False
21,1996,45,3,True,3,2,-1,False
22,1996,46,1,False,9,8,-1,False
23,1996,46,2,False,9,8,-1,False
24,1996,46,3,False,9,8,-1,False
25,1996,46,5,True,9,8,-1,False
26,1996,46,6,False,9,8,-1,False
27,1996,46,7,False,9,8,-1,False
28,1996,46,8,False,9,8,-1,False
29,1996,46,9,False,9,8,-1,False
30,1996,47,1,False,5,5,0,False
31,1996,47,2,False,5,5,0,False
32,1996,47,3,False,5,5,0,False
33,1996,47,4,False,5,5,0,False
34,1996,47,5,False,5,5,0,False
35,1996,48,1,False,7,7,0,False
36,1996,48,2,False,7,7,0,False
37,1996,48,3,False,7,7,0,False
38,1996,48,4,False,7,7,0,False
39,1996,48,5,False,7,7,0,False
40,1996,48,6,False,7,7,0,False
41,1996,48,7,False,7,7,0,False
42,1996,49,1,False,7,7,0,False
43,1996,49,2,False,7,7,0,False
44,1996,49,3,False,7,7,0,False
45,1996,49,4,False,7,7,0,False
46,1996,49,5,False,7,7,0,False
47,1996,49,6,False,7,7,0,False
48,1996,49,7,False,7,7,0,False
49,1996,50,1,False,3,3,0,False
50,1996,50,2,False,3,3,0,False
51,1996,50,3,False,3,3,0,False
52,1997,1,1,False,1,1,0,False
53,1997,4,1,False,1,1,0,False
54,1997,5,1,False,3,3,0,False
55,1997,5,2,False,3,3,0,False
56,1997,5,3,False,3,3,0,False
57,1997,7,1,False,15,14,-1,False
58,1997,7,2,False,15,14,-1,False
59,1997,7,3,False,15,14,-1,False
60,1997,7,4,False,15,14,-1,False
61,1997,7,5,False,15,14,-1,False
62,1997,7,6,False,15,14,-1,False
63,1997,7,7,False,15,14,-1,False
64,1997,7,8,False,15,14,-1,False
65,1997,7,9,False,15,14,-1,False
66,1997,7,10,False,15,14,-1,False
67,1997,7,11,False,15,14,-1,False
68,1997,7,12,False,15,14,-1,False
69,1997,7,13,False,15,14,-1,False
70,1997,7,15,True,15,14,-1,False
71,1997,8,1,False,1,1,0,False
72,1997,9,1,False,2,2,0,False
73,1997,9,2,False,2,2,0,False
74,1997,10,1,False,4,4,0,False
75,1997,10,2,False,4,4,0,False
76,1997,10,3,False,4,4,0,False
77,1997,10,4,False,4,4,0,False
78,1997,11,1,False,1,1,0,False
79,1997,12,1,False,6,6,0,False
80,1997,12,2,False,6,6,0,False
81,1997,12,3,False,6,6,0,False
82,1997,12,4,False,6,6,0,False
83,1997,12,5,False,6,6,0,False
84,1997,12,6,False,6,6,0,False
85,1997,13,1,False,1,1,0,False
86,1997,14,1,False,5,5,0,False
87,1997,14,2,False,5,5,0,False
88,1997,14,3,False,5,5,0,False
89,1997,14,4,False,5,5,0,False
90,1997,14,5,False,5,5,0,False
91,1997,15,1,False,3,3,0,False
92,1997,15,2,False,3,3,0,False
93,1997,15,3,False,3,3,0,False
94,1997,16,1,False,2,2,0,False
95,1997,16,2,False,2,2,0,False
96,1997,17,1,False,3,3,0,False
97,1997,17,2,False,3,3,0,False
98,1997,17,3,False,3,3,0,False
99,1997,18,1,False,2,2,0,False
100,1997,18,2,False,2,2,0,False
101,1997,19,1,False,3,3,0,False
102,1997,19,2,False,3,3,0,False
103,1997,19,3,False,3,3,0,False
104,1997,20,1,False,3,3,0,False
105,1997,20,2,False,3,3,0,False
106,1997,20,3,False,3,3,0,False
107,1997,21,1,False,9,9,0,False
108,1997,21,2,False,9,9,0,False
109,1997,21,3,False,9,9,0,False
110,1997,21,4,False,9,9,0,False
111,1997,21,5,False,9,9,0,False
112,1997,21,6,False,9,9,0,False
113,1997,21,7,False,9,9,0,False
114,1997,21,8,False,9,9,0,False
115,1997,21,9,False,9,9,0,False
116,1997,22,1,False,2,2,0,False
117,1997,22,2,False,2,2,0,False
118,1997,23,1,False,1,1,0,False
119,1997,24,1,False,5,5,0,False
120,1997,24,2,False,5,5,0,False
121,1997,24,3,False,5,5,0,False
122,1997,24,4,False,5,5,0,False
123,1997,24,5,False,5,5,0,False
124,1997,25,1,False,1,1,0,False
125,1997,26,1,False,18,17,-1,False
126,1997,26,2,False,18,17,-1,False
127,1997,26,3,False,18,17,-1,False
128,1997,26,4,False,18,17,-1,False
129,1997,26,5,False,18,17,-1,False
130,1997,26,6,False,18,17,-1,False
131,1997,26,7,False,18,17,-1,False
132,1997,26,8,False,18,17,-1,False
133,1997,26,9,False,18,17,-1,False
134,1997,26,10,False,18,17,-1,False
135,1997,26,11,False,18,17,-1,False
136,1997,26,12,False,18,17,-1,False
137,1997,26,13,False,18,17,-1,False
138,1997,26,14,False,18,17,-1,False
139,1997,26,15,False,18,17,-1,False
140,1997,26,16,False,18,17,-1,False
141,1997,26,18,True,18,17,-1,False
142,1997,27,1,False,2,2,0,False
143,1997,27,2,False,2,2,0,False
144,1997,28,2,True,2,1,-1,False
145,1997,29,1,False,9,9,0,False
146,1997,29,2,False,9,9,0,False
147,1997,29,3,False,9,9,0,False
148,1997,29,4,False,9,9,0,False
149,1997,29,5,False,9,9,0,False
150,1997,29,6,False,9,9,0,False
151,1997,29,7,False,9,9,0,False
152,1997,29,8,False,9,9,0,False
153,1997,29,9,False,9,9,0,False
154,1997,30,1,False,3,3,0,False
155,1997,30,2,False,3,3,0,False
156,1997,30,3,False,3,3,0,False
157,1997,31,1,False,2,2,0,False
158,1997,31,2,False,2,2,0,False
159,1997,32,1,False,5,5,0,False
160,1997,32,2,False,5,5,0,False
161,1997,32,3,False,5,5,0,False
162,1997,32,4,False,5,5,0,False
163,1997,32,5,False,5,5,0,False
164,1997,33,1,False,3,3,0,False
165,1997,33,2,False,3,3,0,False
166,1997,33,3,False,3,3,0,False
167,1997,34,1,False,3,3,0,False
168,1997,34,2,False,3,3,0,False
169,1997,34,3,False,3,3,0,False
170,1997,35,1,False,1,1,0,False
171,1997,36,1,False,3,3,0,False
172,1997,36,2,False,3,3,0,False
173,1997,36,3,False,3,3,0,False
174,1997,37,1,False,1,1,0,False
175,1997,38,1,False,1,1,0,False
176,1997,39,1,False,1,1,0,False
177,1997,40,1,False,22,20,-2,False
178,1997,40,2,False,22,20,-2,False
179,1997,40,3,False,22,20,-2,False
180,1997,40,4,False,22,20,-2,False
181,1997,40,5,False,22,20,-2,False
182,1997,40,7,True,22,20,-2,False
183,1997,40,8,False,22,20,-2,False
184,1997,40,9,False,22,20,-2,False
185,1997,40,10,False,22,20,-2,False
186,1997,40,11,False,22,20,-2,False
187,1997,40,12,False,22,20,-2,False
188,1997,40,13,False,22,20,-2,False
189,1997,40,14,False,22,20,-2,False
190,1997,40,15,False,22,20,-2,False
191,1997,40,16,False,22,20,-2,False
192,1997,40,17,False,22,20,-2,False
193,1997,40,18,False,22,20,-2,False
194,1997,40,20,True,22,20,-2,False
195,1997,40,21,False,22,20,-2,False
196,1997,40,22,False,22,20,-2,False
197,1997,41,1,False,4,4,0,False
198,1997,41,2,False,4,4,0,False
199,1997,41,3,False,4,4,0,False
200,1997,41,4,False,4,4,0,False
201,1997,42,1,False,3,3,0,False
202,1997,42,2,False,3,3,0,False
203,1997,42,3,False,3,3,0,False
204,1997,43,1,False,2,2,0,False
205,1997,43,2,False,2,2,0,False
206,1997,44,1,False,1,1,0,False
207,1997,45,1,False,4,4,0,False
208,1997,45,2,False,4,4,0,False
209,1997,45,3,False,4,4,0,False
210,1997,45,4,False,4,4,0,False
211,1997,46,1,False,9,9,0,False
212,1997,46,2,False,9,9,0,False
213,1997,46,3,False,9,9,0,False
214,1997,46,4,False,9,9,0,False
215,1997,46,5,False,9,9,0,False
216,1997,46,6,False,9,9,0,False
217,1997,46,7,False,9,9,0,False
218,1997,46,8,False,9,9,0,False
219,1997,46,9,False,9,9,0,False
220,1997,47,1,False,5,5,0,False
221,1997,47,2,False,5,5,0,False
222,1997,47,3,False,5,5,0,False
223,1997,47,4,False,5,5,0,False
224,1997,47,5,False,5,5,0,False
225,1997,48,1,False,7,7,0,False
226,1997,48,2,False,7,7,0,False
227,1997,48,3,False,7,7,0,False
228,1997,48,4,False,7,7,0,False
229,1997,48,5,False,7,7,0,False
230,1997,48,6,False,7,7,0,False
231,1997,48,7,False,7,7,0,False
232,1997,49,1,False,7,7,0,False
233,1997,49,2,False,7,7,0,False
234,1997,49,3,False,7,7,0,False
235,1997,49,4,False,7,7,0,False
236,1997,49,5,False,7,7,0,False
237,1997,49,6,False,7,7,0,False
238,1997,49,7,False,7,7,0,False
239,1997,50,1,False,3,3,0,False
240,1997,50,2,False,3,3,0,False
241,1997,50,3,False,3,3,0,False
242,1998,1,1,False,1,1,0,False
243,1998,4,1,False,1,1,0,False
244,1998,5,1,False,3,3,0,False
245,1998,5,2,False,3,3,0,False
246,1998,5,3,False,3,3,0,False
247,1998,7,1,False,15,15,0,False
248,1998,7,2,False,15,15,0,False
249,1998,7,3,False,15,15,0,False
250,1998,7,4,False,15,15,0,False
251,1998,7,5,False,15,15,0,False
252,1998,7,6,False,15,15,0,False
253,1998,7,7,False,15,15,0,False
254,1998,7,8,False,15,15,0,False
255,1998,7,9,False,15,15,0,False
256,1998,7,10,False,15,15,0,True
257,1998,7,11,False,15,15,0,False
258,1998,7,12,False,15,15,0,False
259,1998,7,13,False,15,15,0,False
260,1998,7,14,False,15,15,0,False
261,1998,7,15,False,15,15,0,False
262,1998,8,1,False,1,1,0,False
263,1998,9,1,False,2,2,0,False
264,1998,9,2,False,2,2,0,False
265,1998,10,1,False,4,4,0,False
266,1998,10,2,False,4,4,0,False
267,1998,10,3,False,4,4,0,False
268,1998,10,4,False,4,4,0,False
269,1998,11,1,False,1,1,0,False
270,1998,12,1,False,6,6,0,False
271,1998,12,2,False,6,6,0,False
272,1998,12,3,False,6,6,0,False
273,1998,12,4,False,6,6,0,False
274,1998,12,5,False,6,6,0,False
275,1998,12,6,False,6,6,0,False
276,1998,13,1,False,1,1,0,False
277,1998,14,1,False,5,5,0,False
278,1998,14,2,False,5,5,0,False
279,1998,14,3,False,5,5,0,False
280,1998,14,4,False,5,5,0,False
281,1998,14,5,False,5,5,0,False
282,1998,15,1,False,3,3,0,False
283,1998,15,2,False,3,3,0,False
284,1998,15,3,False,3,3,0,False
285,1998,16,1,False,2,2,0,False
286,1998,16,2,False,2,2,0,False
287,1998,17,1,False,3,3,0,False
288,1998,17,2,False,3,3,0,False
289,1998,17,3,False,3,3,0,False
290,1998,18,1,False,2,2,0,False
291,1998,18,2,False,2,2,0,False
292,1998,19,1,False,3,3,0,False
293,1998,19,2,False,3,3,0,False
294,1998,19,3,False,3,3,0,False
295,1998,20,1,False,3,3,0,False
296,1998,20,2,False,3,3,0,False
297,1998,20,3,False,3,3,0,True
298,1998,21,1,False,9,9,0,False
299,1998,21,2,False,9,9,0,False
300,1998,21,3,False,9,9,0,False
301,1998,21,4,False,9,9,0,False
302,1998,21,5,False,9,9,0,False
303,1998,21,6,False,9,9,0,False
304,1998,21,7,False,9,9,0,False
305,1998,21,8,False,9,9,0,True
306,1998,21,9,False,9,9,0,False
307,1998,22,1,False,2,2,0,False
308,1998,22,2,False,2,2,0,False
309,1998,23,1,False,1,1,0,False
310,1998,24,1,False,5,5,0,False
311,1998,24,2,False,5,5,0,False
312,1998,24,3,False,5,5,0,False
313,1998,24,4,False,5,5,0,False
314,1998,24,5,False,5,5,0,False
315,1998,25,1,False,1,1,0,False
316,1998,26,1,False,19,19,0,False
317,1998,26,2,False,19,19,0,False
318,1998,26,3,False,19,19,0,False
319,1998,26,4,False,19,19,0,False
320,1998,26,5,False,19,19,0,False
321,1998,26,6,False,19,19,0,False
322,1998,26,7,False,19,19,0,True
323,1998,26,8,False,19,19,0,False
324,1998,26,9,False,19,19,0,False
325,1998,26,10,False,19,19,0,False
326,1998,26,11,False,19,19,0,False
327,1998,26,12,False,19,19,0,False
328,1998,26,13,False,19,19,0,False
329,1998,26,14,False,19,19,0,False
330,1998,26,15,False,19,19,0,False
331,1998,26,16,False,19,19,0,False
332,1998,26,17,False,19,19,0,False
333,1998,26,18,False,19,19,0,False
334,1998,26,19,False,19,19,0,False
335,1998,27,1,False,2,2,0,False
336,1998,27,2,False,2,2,0,False
337,1998,28,1,False,2,2,0,False
338,1998,28,2,False,2,2,0,False
