method,consensus_runs,count,mean,std,min,25%,50%,75%,max
NMI,1,4950.0,0.9480457464016409,0.005654455730988976,0.9256640475947858,0.9442675743981308,0.9481200607436506,0.9518950910326638,0.9688897022825865
NMI,2,4950.0,0.8591690038789257,0.034073144669058995,0.7489761583593754,0.8343600368776514,0.8583491577169167,0.8843298440612011,0.9586235543938839
NMI,4,4950.0,0.9685971589957101,0.004027365587868995,0.9527725173032835,0.9659482713962413,0.9686448261249967,0.971267012103444,0.9813493367880706
NMI,8,4950.0,0.9793275033902844,0.002838647526247507,0.9690508025042553,0.977339314917452,0.9793731961145005,0.9812813238730773,0.9883887480135708
NMI,16,4950.0,0.9859495222965594,0.0021327806083533784,0.9777919137508738,0.9845509776503774,0.9859920965992532,0.9874417332856343,0.9928227184790162
NMI,32,4950.0,0.9896882005752372,0.0015946324812207723,0.981911025354775,0.988654777706879,0.9897408223694246,0.9907893211757257,0.9944338543370886
NMI,64,4950.0,0.992449377048224,0.0012637850494685852,0.9876874474480611,0.9915782510836473,0.9924815872184627,0.993339863203449,0.9960378371485098
NMI,128,4950.0,0.9946421916347465,0.0010919900645443405,0.9902752423343335,0.9939617821718723,0.9947012475991681,0.9954129489137151,0.9978365463815406
NMI,256,4950.0,0.9961223309563186,0.0007966201388298408,0.9933987064541311,0.9955867640116238,0.9961284229932577,0.9966597734968505,0.998840820737243
NMI,512,4950.0,0.9972136911823507,0.0006992027237014051,0.9948680283901471,0.9967468350777893,0.9972276714885443,0.9977134060442535,0.9992711622394497
NMI,1000,4950.0,0.9980515705644165,0.000575167620798297,0.996039767162603,0.9976667338055283,0.9980647868712494,0.9984602370857029,0.9996478908052795
Rand,1,4950.0,0.8799670778982251,0.019972168840351124,0.8103094236982521,0.8660489779235078,0.8804943125187934,0.8940476750599092,0.9416675758769708
Rand,2,4950.0,0.5980834850945427,0.12252465823174827,0.27393283292839066,0.4983591946362377,0.5859101326403986,0.7056746170957332,0.9019029727324211
Rand,4,4950.0,0.9122451097744974,0.021003600770291,0.8332217474142359,0.8994181708547824,0.913367622942305,0.9271264001371515,0.9650458845158701
Rand,8,4950.0,0.9406133064380685,0.01574979473064454,0.8909600891570664,0.929781004386881,0.9408418762313613,0.9522863237585442,0.9797296494925912
Rand,16,4950.0,0.9642705536404839,0.00980821807766592,0.9281779222770445,0.9582839808978512,0.9649890013756615,0.9713166146988329,0.9900509010095121
Rand,32,4950.0,0.974929441263921,0.007208321289073914,0.9364333265819571,0.9704613240424511,0.975419273134426,0.9800023741663955,0.9920482964392898
Rand,64,4950.0,0.9820651054496239,0.00536579026913557,0.9624580237408326,0.978553422414946,0.9821928633385504,0.9862019796081356,0.9946780740865655
Rand,128,4950.0,0.9884402557231402,0.003963517494999724,0.9720229240127639,0.9859816995318393,0.9892843685895276,0.9912733113633448,0.9978728900098837
Rand,256,4950.0,0.9920936094964032,0.002383631616484565,0.9797570409211481,0.99065445734724,0.9922168789125065,0.9937411046309769,0.998844694979515
Rand,512,4950.0,0.9943577172526259,0.001994653903126082,0.9876458806180046,0.9930375229885462,0.994468394469217,0.9957918272453354,0.9992681852618549
Rand,1000,4950.0,0.9961965814160684,0.0015475419035387284,0.9901224069003992,0.9951755562601405,0.9962783881245538,0.9973128877901329,0.9997842583408988
