method,consensus_runs,count,mean,std,min,25%,50%,75%,max
NMI,1,4950.0,0.932231038724059,0.007270558153820431,0.9061111354990945,0.9271651738355288,0.9322534593343568,0.9372089696794563,0.9573538658994247
NMI,2,4950.0,0.8166095036056589,0.032057432416919794,0.7066974793043185,0.7945158104472907,0.816776573292368,0.838781159960132,0.9285705247300471
NMI,4,4950.0,0.9568435569363121,0.0054044722861638665,0.9308898108437949,0.9530740136606545,0.9570986213700418,0.9608378563311747,0.9722851093287401
NMI,8,4950.0,0.9757004080832415,0.0024825757735477258,0.9657654418759749,0.9740495670908033,0.9757363855940577,0.9773903017769539,0.9831537115392072
NMI,16,4950.0,0.9828106014817626,0.0019646592245391595,0.9761307947223321,0.9814964092273412,0.9828334039252586,0.9841507951903844,0.9894114754467804
NMI,32,4950.0,0.9874585776738998,0.0014872706009969958,0.9819428144414608,0.9864423744047828,0.9874765496978896,0.9884931189770308,0.9921871364704018
NMI,64,4950.0,0.9907981734174118,0.0013498740331292776,0.9859214209897411,0.9899149525989037,0.9908510274592648,0.9917461178188008,0.9953726120260997
NMI,128,4950.0,0.993590311452547,0.0011268635708527677,0.9894004933644359,0.9928405506593656,0.9936512082981431,0.9943968015569403,0.9968615539595286
NMI,256,4950.0,0.9955747162087007,0.0008239234989404981,0.9925262463373559,0.9950512162665295,0.9956265292763491,0.996160208616024,0.997984044703771
NMI,512,4950.0,0.9968840699686043,0.0006448038717603802,0.9937957673499175,0.9964782547571354,0.9969207294360283,0.997323558257261,0.9988063576214461
NMI,1000,4950.0,0.9977992556859236,0.00048192362231101174,0.9961444904983211,0.9974678929477402,0.9978089831702236,0.9981363149186715,0.9993154016970097
Rand,1,4950.0,0.7732609124843292,0.0316789788673774,0.6779229430377656,0.7510234706586414,0.7721964604480092,0.7955058388674442,0.8711289810246186
Rand,2,4950.0,0.6059979504672544,0.07737390984399156,0.3429655123130523,0.5520361806555931,0.6068569822254025,0.6599820408808241,0.8631744786866993
Rand,4,4950.0,0.8138873710989407,0.040056788095593494,0.6450971772605512,0.7916469710705276,0.8190767196240207,0.8424537870060095,0.909177187369081
Rand,8,4950.0,0.9090326511687277,0.014049250809960348,0.8571527620790644,0.899759761774311,0.9094343672011085,0.918885269841332,0.949891338985537
Rand,16,4950.0,0.9318351445131423,0.01258784932056884,0.8828751602194717,0.9232276994191426,0.932491529500769,0.9408981715634348,0.9693906911046225
Rand,32,4950.0,0.9489790406210258,0.010440567305051723,0.9111253878920388,0.9414584933813197,0.9489725066417757,0.9567794962978109,0.9780033009912455
Rand,64,4950.0,0.9610318994391308,0.00982117715573051,0.9261917730355609,0.9541062645486964,0.9610159924475139,0.9685135232642732,0.9859573814907557
Rand,128,4950.0,0.972796718087891,0.00890120143011827,0.9422347813840334,0.9662768833925042,0.9733259687279183,0.980051865450518,0.9919856689211303
Rand,256,4950.0,0.9826514900953028,0.006412903091055215,0.9569168661681049,0.9793594895936623,0.9840663906186858,0.987308110525236,0.9954327145702861
Rand,512,4950.0,0.988842045204065,0.004367069885257136,0.9651537726269884,0.9869849968704375,0.9895105635613779,0.9917460568631912,0.9980771988854045
Rand,1000,4950.0,0.9925553487746168,0.002702118821888776,0.9818945288891692,0.990790462268418,0.9928562699328419,0.9944935616844908,0.9991810007413635
