law_name,abbreviation
"Börsengesetz (BörsG) v. 16.7.2007",BörsG
"Verordnung über die Zulassung von Wertpapieren zur regulierten Notierung an einer Wertpapierbörse (Börsenzulassungs-Verord-nung – BörsZulV) idF der Bek.v. 9.9.1998 ",BörsZulV
"Gesetz über die Erstellung, Billigung und Veröffentlichung des Prospekts, der beim öffentlichen Angebot von Wertpapieren oder bei der Zulassung von Wertpapieren zum Handel an einem organisierten Markt zu veröffentlichen ist (Wertpapierprospektgesetz – WpPG) v. 22.6.2005",WpPG
"Verordnung über die Erhebung von Gebühren nach dem Wertpapierprospektgesetz (Wertpapierprospektgebührenverordnung – WpPGebV) v. 29.6.2005",WpPGebV
"Gesetz über Vermögensanlagen (Vermögensanlagengesetz – VermAnlG)v. 6.12.2011 ",VermAnlG
"Verordnung über Vermögensanlagen-Verkaufsprospekte (Vermögensanlagen-Verkaufsprospektverordnung – VermVerk- ProspV) v. 16.12.2004 ",ProspV
"Verordnung über die Gebühren für Amtshandlungen betreffend Verkaufsprospekte für Vermögensanlagen nach dem Vermögensanlagengesetz (Vermögensanlagen-Verkaufsprospektgebührenverordnung – VermVerkProspGebV) v. 29.6.2005 ",VermVerkProspGebV
"Verordnung zur Durchführung des § 11a des Vermögensanlagengesetzes (Vermögensanlagen-Veröffentlichungs- und Mitteilungspflichtenverordnung – VermVerMiV) v. 20.8.2015 ",VermVerMiV
"Verordnung zur Durchführung des § 15 Absatz 4 des Vermögensanlagengesetzes (Vermögensanlagen-Informationsblatt-Bestätigungsverordnung – VIBBestV) v. 20.8.2015 ",VIBBestV
"Gesetz über Schuldverschreibungen aus Gesamtemissionen (Schuldverschreibungsgesetz – SchVG) v. 31.7.2009",SchVG
"Gesetz über den Wertpapierhandel (Wertpapierhandelsgesetz – WpHG) idF der Bek. v. 9.9.1998 ",WpHG
"Verordnung zur Konkretisierung von Anzeige-, Mitteilungs-und Veröffentlichungspflichten nach dem Wertpapierhandelsgesetz (Wertpapierhandelsanzeigeverordnung – WpAV) v. 13.12.2004 ",WpAV
"Verordnung über die Prüfung der Wertpapierdienstleistungsunter- nehmen nach § 89 des Wertpapierhandelsgesetzes (Wertpapierdienstleistungs-Prüfungsverordnung – WpDPV) v. 17.1.2018 ",WpDPV
"Verordnung über die erforderlichen Angaben und vorzulegenden Unterlagen bei einem Erlaubnisantrag nach § 102 des Wertpapierhandelsgesetzes (Marktzugangsangabenverordnung – Markt- angV) v. 30.9.2004 ",MarktangV
"Verordnung zur Konkretisierung der Verhaltensregeln und Organi- sationsanforderungen für Wertpapierdienstleistungsunternehmen (Wertpapierdienstleistungs-Verhaltens- und Organisationsverordnung – WpDVerOV) v. 17.10.2017 ",WpDVerOV
"Verordnung zur Umsetzung der Richtlinie 2007/14/EG der Kommission vom 8. März 2007 mit Durchführungsbestimmungen zu bestimmten Vorschriften der Richtlinie 2004/109/EG zur Harmonisierung der Transparenzanforderungen in Bezug auf Informationen über Emittenten, deren Wertpapiere zum Handel an einem geregelten Markt zugelassen sind (Transparenzrichtlinie-Durch-ührungsverordnung – TranspRLDV) v. 13.3.2008 ",TranspRLDV
"Verordnung zur Konkretisierung von Art, Umfang und Form der Mitteilungen und Benachrichtigungen gemäß Artikel 17 Absatz 5,6, 9 und 10 der Verordnung (EU) Nr. 236/2012 (Leerverkaufs- Anzeigeverordnung – LAnzV) v. 16.4.2014 ",LAnzV
"Verordnung über den Einsatz von Mitarbeitern in der Anlageberatung, als Vertriebsmitarbeiter, in der Finanzportfolioverwaltung, als Vertriebsbeauftragte oder als Compliance- Beauftragte und über die Anzeigepflichten nach § 87 des Wertpapierhandelsgesetzes (WpHG-Mitarbeiteranzeigeverordnung – WpHGMaAnzV)v. 21.12.2011 ",WpHGMaAnzV
"Verordnung zur Konkretisierung der Mitteilungs- und Veröffentli- chungspflichten für ... Netto-Leerverkaufspositionen Netto-Leer- verkaufspositionsverordnung – NLPosV) v. 17.12.2012 ",NLPosV
"Verordnung über die Prüfung und Bescheinigung der Einhaltung bestimmter Pflichten auf Grund der Verordnung (EU)Nr. 648/2012 des Europäischen Parlaments und des Rates vom 4.Juli 2012 über OTC Derivate, zentrale Gegenparteien und Transaktionsregister durch prüfpflichtige nichtfinanzielle Gegenparteien (Gegenpartei-Prüfbescheinigungsverordnung – GPrüfbV) v. 19.3.2014 ",GPrüfbV
"Gesetz über Musterverfahren in kapitalmarktrechtlichen Streitigkeiten (Kapitalanleger-Musterverfahrensgesetz – KapMuG) v. 19.10.2012 ",KapMuG
"Verordnung über das Klageregister nach dem Kapitalanleger-Musterverfahrensgesetz (Klageregisterverordnung – KlagRegV) v. 14.12.2012 ",KlagRegV
"Kapitalanlagegesetzbuch (KAGB) v. 4.7.2013 ",KAGB
"Verordnung zur Konkretisierung der Verhaltensregeln und Organisationsregeln nach dem Kapitalanlagegesetzbuch (Kapitalanlage-Verhaltens- und –Organisationsverordnung — KAVerOV) v. 16.7.2013 ",KAVerOV
"Verordnung über Risikomanagement und Risikomessung beim Einsatz von Derivaten, Wertpapier-Darlehen und Pensionsgeschäften in Investmentvermögen nach dem Kapitalanlagegesetzbuch (Derivateverordnung – DerivateV) v. 16.7.2013 ",DerivateV
"Verordnung zum elektronischen Anzeigeverfahren für inländische Investmentvermögen und EU-Investmentvermögen nach dem Kapitalanlagegesetzbuch (EAKAV) v. 16.7.2013",EAKAV
"Verordnung über Inhalt, Umfang und Darstellung der Rechnungslegung von Sondervermögen, Investmentaktiengesellschaften und Investmentkommanditgesellschaften sowie über die Bewertung der zu dem Investmentvermögen gehörenden Vermögensgegenstände (Kapitalanlage-Rechnungslegungs- und -Bewertungsverordnung – KARBV) v. 16.7.2013 ",KARBV
"Verordnung über den Gegenstand der Prüfung und die Inhalte der Prüfungsberichte für externe Kapitalverwaltungsgesellschaften, Investmentaktiengesellschaften, Investmentkommanditgesellschaften und Sondervermögen (Kapitalanlage-Prüfungsberichte-Verordnung – KAPrüfbV) v. 24.7.2013 ",KAPrüfbV
"Gesetz über die Verwahrung und Anschaffung von Wertpapieren (Depotgesetz – DepotG) idF der Bek. v. 11.1.1995 ",DepotG
"Verordnung über den Ersatz von Aufwendungen der Kreditinstitute v. 17.6.2003 ",
"Wertpapiererwerbs- und Übernahmegesetz (WpÜG) v. 20.12.2001",WpÜG
