publication_family_id,leading_cluster,label
1,2015_3,"Public Health and Social Welfare"
2,2010_0,"Financial Regulation for Consumers"
3,2011_3,"Education and Students' Economic Support"
4,2015_11,"Taxes and Retirement Security"
5,2015_4,"Foreign Assistance, Development Aid, Arms Export, and Export Control"
6,2018_10,"Immigration and Border Security"
7,2015_0,"Environmental Protection and Wildlife Conservation"
8,1994_9,"Energy Regulation, Conservation, and Transport"
9,2018_6,"Small Business Aid and Public Procurement"
10,2018_7,"Customs"
11,2005_6,"Taxes and National Security"
12,2018_28,"Capital Markets, Securities, and Commodity Exchange"
13,2018_15,"Telecommunications and Copyright"
14,2017_2,"Government Organization and Public Administration"
15,2018_9,"Veterans' Benefits"
16,2007_12,"Immigration and Trafficking"
17,1995_3,"Agricultural Goods Production and Control"
18,2012_26,"Government Employees' Health and Retirement"
19,2009_8,"Public Housing and Homelessness"
20,2013_0,"Native Americans"
